Name,EPI300_pCC1_ATF1_iAAl,EPI300_pCC1_ATF1_AraiAAl,
Ethyl 4-(ethyloxy)-2-oxobut-3-enoate,39173.18436,25217.1799,
Ethyl 9-hexadecenoate,1181986.965,1109617.504,
Ethyl Acetate,2764340.782,28086222.04,
Formic acid,393601.4898,386808.752,
Fumaronitrile,1207452.514,1376478.12,
"Heptasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13-tetradecamethyl-",1137821.229,1039912.48,
"Hexadecanoic acid, ethyl ester",696474.8603,536581.8476,
Hexanoic acid,791439.4786,292743.9222,
Indole,180666178.8,155210560.8,
Isobutyl acetate,443940.4097,1040115.073,
Isophthalaldehyde,203897.5791,478588.3306,
Lauryl acetate,884508.3799,4222598.055,
L-Proline,213750.4655,190416.5316,
"Methane, sulfinylbis-",170100.5587,151432.7391,
methyl 1-hydroxycyclopentane-1-carboxylate,161437.6164,109236.6288,
"Methyl 5-[3,3-bis(trimethylsilyl)oxiran-2-yl]pentanoate",16834.26443,26638.57374,
"Methyl ester of 2S-(1,2,3,4,4a,5,6,7,8,8a.alpha.-Decahydro-1.alpha.,5.beta.-...",11428.3054,229379.2545,
"N-[(2E),(1S)-1-(Methylethyl)-5-oxohex-2-enyl](tert-butoxy)carboxamide",36631.28492,22102.10697,
N-Isopropyl-2-chloro-2-methyl-3-butylimine,38776.53631,12559.15721,
OCTADECAMETHYLCYCLONONASILOXANE ,389459.9628,326837.9254,
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",7344216.015,6363695.3,
O-Vinyl - Dimethylglyoxime,150439.4786,2123578.606,
"Oxazole, 2-phenyl-",74389.19926,53854.1329,
p-Cresol,335845.4376,151552.6742,
"PENTAN-1,3-DIOLDIISOBUTYRATE, 2,2,4-TRIMETHYL- ",537206.7039,588090.7618,
Phenol,259823.0912,207254.4571,
"Propanoic acid, decyl ester",172225.3259,123685.5754,
"Propanoic acid, ethyl ester",4369407.821,8761423.015,
"Pyrazine, methyl-",756536.3128,677614.2626,
"Pyridine, 2,3,6-trimethyl-",1774700.186,1823222.042,
rac-(+-)-2-(tert-Butylsulfonyl)pentyl acetate,498754.1899,29907.6175,
"tert-Butyl (3,5-di-tert-butylphenyl) sulfide",23061.45251,26001.62075,
tert-Butyl-N-(2-fluoro-2-(1-methylvinyl)-4-pentylidene)amine,164167.5978,162374.3922,
"TRANS-4,5-DIMETHOXY-2-PENTENE ",50575.41899,10121.55592,
Vinyl trans-cinnamate,148113.594,77505.67261,
"1-Butanol, 3-methyl-, acetate",0,25547168.56,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
