Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
"2,6-DIHYDROXYBENZOIC ACID 3TMS",20730,
"Methyl 5-[3,3-bis(trimethylsilyl)oxiran-2-yl]pentanoate",12591,
Methylenecyclopropanecarboxylic acid,144931,
"(E)-5,5-Difluoro-4-hydroxy-2-dodecen-6-one",22663,
"Ethyl 4-oxo-5,5-dimethylhexanoate ",3184,
2-Cyclopropyl-2-methyltetrahydrofuran,11250,
"Butanoic acid, 3-methyl-",250497,
"2,3-Dimethyl-2,3-butanediol cyclic carbonate",4923,
"1,3-Benzenediol, o-(4-ethylbenzoyl)-o'-(3-methylbenzoyl)-",205212,
(+-)-Methyl 1-(1-chloro-2-phenyl-2-oxoethyl)-1H-tetrazole-5-carboxylate,23296,
Pent-4-enal,30283,
2-Dodecanone,508484,
2-Nitro-1-phenylpent-4-ene-1-one,22964,
Phenylazomethane-amidoxime,12066,
"exo-Tetracyclo[4.4.1.1(2,5).0(7,10)]dodeca-3,8-diene",11008,
"3,3a,4,5,6,6a-hexahydro-3a-methoxy-4-methyl-3-(4-nitrophenyl)pyrrolo[2,3-d]-...",33856,
"1-Propanol, 3-(methylthio)-",95156,
2-Methyl-2-chloro-3-(chloromethyl)butyrolactone,37313,
"Carbonic acid, monoamide, N-propyl-, benzyl ester",82192,
"N-Perfluorobutylsulfonyl-2,3,5,6-tetramethylaniline",21263,
"Cyclohexene, 1-methoxy-",39497,
2-(trans-2-Methyl-2-butenoxy)cycloheptene,48125,
"1,3,5-Heptatriene, (E,E)-",9504,
"2,6-Diisopropylfuran",36868,
"spiro[2,3-dihydroxy-1-oxa-5-oxocyclopentane--4,3'-1',2',5',6'-tetramethylbic...",39474,
"7-Methoxy-2,3-bis(methoxycarbonyl)-1-(2-chloro-4-pyridyl)-6-(cyclopentyloxy)...",18272,
Ethylene glycol monoisobutyl ether,143501,
2-Undecanol,227478,
N-[(5-Methyl-5-hexenyl)-2-oxy]pyridine-2(1H)-thione,7522,
Bis(1-norbornyl)mercury,37783,
"Cyclooctasiloxane, hexadecamethyl- ",287504,
"1-D1-1,2,4-TRIAZOLE",65967,
"Propanoic acid, hexyl ester",285676,
"[1R-(1.alpha.,2.alpha.,6.alpha.)]3,7,7-Trimethylbicyclo[3.1.1]hept-3-ene-2-t...",56716,
rac-r-3-Acetoxy-1-(4-methoxybenzyl)-C-5-(2-thiazolyl)-2-pyrrolidinone,6171,
.gamma.-1-Acetoxyethyl-1-methyl-c-2-isopropenylcyclobutane,19884,
1-METHOXY-BUT-2-YNE ,28759,
Guanidine carbonate,42386,
"3,7-Dioxo-4,8-dioxy-10-ethyl-1-tetradecene",107879,
"1,6-Di-O-(Ethoxyethoxy)pseudo-D-arabinopyranose [2,3-Dibenzyloxy-1-(ethoxyet...",135628,
"(R)-2-[3,3,3-D3]methylpropanoic acid",13171,
Formamide,38400,
"(4E)-2,2,4-Trimethylhex-4-en-3-one",5311,
dispiro[3.0.3.3]undecane-9-one,47885,
"(2R)-1,2-Dibenzyloxy-5-(1,3-dioxolan-2-yl)pentan-3-one",51082,
"2,5-Hexanediol, 2,5-dimethyl-",71511,
"5-hydroxy-1,2-pentadiene",10983,
1-Chlorooct-2-yl acetate ,15416,
"4,5-Dimethylocta-1,7-diene-4,5-diol",15454,
(tert-Butylsulfonyl)benzene,8974,
"2-Methoxymethyl-5-trimethylstannylpyrrolo[1,2-c]pyrimidin-1(2H)-one",34917,
"1,3-Bis(5-t-butylsilicyl)benzene",28278,
S-Cyclopropyl Cyclopropanethiosulfonate,8949,
"3-Buten-2-ol, 4-phenyl-",70497,
3-Butylisobenzofuran-1(3H)-one,55457,
"5-Decen-1-ol, acetate, (E)-",1544404,
2-Azabicyclo[3.2.1]octan-3-one,1016063,
2-Methyl-7-nitrobenzo[b]furan,10078,
2-OXOPROPIONAMIDE,53228,
"Cyclotrisiloxane, hexamethyl-",325105,
6-Methylbenzimidazole-2-sulfonic acid,46252,
(S)-.alpha.-Isopropyl-.beta.-nitropropanenitrile,68214,
2-Methylpropanoic acid,55496,
"2- and 4-(Trimethoxyacetoxy)-2,5,5-trimethyl-3-hexanone",45296,
"(2,2-Diiodo-1-methoxyethynyl)benzene",35996,
4-hydroxy-6-methyl-5-(3-methyl-2-buten-1-yl)-2-pyrrone,50340,
(E)-Oct-2-en-4-one,84639,
"Benzene, [(cyclohexyloxy)methyl]-",5823,
4-amino-2-methylbutanoic acid ,4557,
"1-Acetyl-4,5-dihydro-1H-pyrazole",14103,
(+-)-2-Octylvinyl carbonate,15352,
(-)-Menthol Benzylsulfonate,36707,
"Cyclopentane, 1-ethyl-2-methyl-",208753,
"2-(2',2'-Dimethyl-1',3'-dioxan-4'-yl)-ethanol",12135,
"PENTAN-1,3-DIOLDIISOBUTYRATE, 2,2,4-TRIMETHYL- ",133281,
"6,7-Dimethylquinoxaline",8427,
4-(2-Naphthyl)-5-phenyl-4H-dibenzophosphole oxide,17660,
3-Cyanooct-1-en-4-ol,6503,
Phenylethyl Alcohol,233783,
"Propane, 2-isocyano-2-methyl-",5876,
cis-3-[(1Z)-Butenyl]-2-vinyltetrahydrofuran,7084,
4-n-Propylindan ,10994,
"Methane, dimethoxy-",52937,
Cyclododecane,2302538,
N-(2'-Phenyl-4'-penten-1'-oxy)-4-(p-methoxyphenyl)thiazole-2(3H)-thione,18900,
3-Pentadecanone,67637,
1H-Pyrrole-2-carboxaldehyde,37723,
"Butanoic acid, 2-methylcyclohexyl ester, cis-",92951,
"1,3-dihydro-1-(p-nitrostyryl)isobenzofuran",78995,
P-HYDROXYPHENYL ETHANEDIOL 3TMS,422487,
3-Hexadecanone,200023,
2-Pentadecanol,410971,
Methyl threo-16-acetoxy-9(10)-iodo-10(9)-nitratohexadecanoate,11679,
"(S)-3,9-dimethyl 6-(1-methylethyl) (E)-5,8-decadien 1-ol",31480,
"2,7-Epoxymegastigma-4,8(Z)-diene",60380,
"diethyl 2,6-dimethyl-4-(3-pyridazinyl)-1,4-dihydropyridine-3,5-dicarboxylate",17836,
"Cyclononasiloxane, octadecamethyl- ",171692,
10-Undecen-1-ol,124372,
5-Acetyl-2-methylpyridine,89059,
"Propanoic acid, 3-(trimethylsilyl)-, methyl ester",22557,
2-Heptadecanone,53000,
"2-[1-(Methoxycarbonyl)azoethylidene]-5,6-dihydroimidazo[2,1-b]thiazol-3(2H)-one",1919,
1-Dotriacontanol,11942,
3-(1-Benzimidazolyl)quinoline ,7392,
n-Decanoic acid,2052277,
4-Quinolinol ,13342,
"2,6-Octadien-1-ol, 3,7-dimethyl-, formate, (Z)-",74533,
"(R)-4-Methyl-6-(phenylmethoxy)hexane-1,4-diol",10689,
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",505943,
3-Quinolinecarbonitrile,224548,
(2-(Hydroxymethyl)-3-allyl)trimethylsilane,39327,
cis-2-[Bis(4-bromophenyl)methyl]-N-[3-(4-methoxyphenyl)methyl]-1-azabicyclo[...,50151,
"5,6-Dihydrobenzo[c]phenanthridin-6-one",58253,
"1,2-Benzenediol, o-(4-methoxybezoyl)-o'-(5-chlorovaleryl)-",36161,
"1,3-Benzenediol, o-(2-furoyl)-o'-(2-methoxybenzoyl)-",31739,
"4,7-Bis(trimethylsilyl)-4,7-dihydro[2.2]paracyclophane",25636,
"2-Methyl-2-(methylaminomethyl)propane-1,3-diol",23221,
"Benzonitrile, 4-(chloromethyl)-; 3-Cyanobenzylchloride; 4-(Chloromethyl)benzonitrile #",38326071,
N-formyl-2-aminobenzaldehyde,12362,
"10-Octadecenoic acid, methyl ester",54183,
"1-aza-3-oxa-2,4,4-triphenyl-cyclopent-1-ene",8266,
3-Methylene-4-methylpentan-1-ol ,19045,
"1-(but-2'-ynoyl)-3,5-dimethylpyrazole",5182,
"3,5-Bis(trifluoromethyl)phenyl 1-phenylpropyl Sulfone",24801,
"Phthalic acid, cyclobutyl isobutyl ester",39559,
2-Ethyl-1-butyl methylphosphonofluoridate,41200,
1-Methyl-1H-6-methoxybenzotriazole,8245,
"5-methoxy-1,2,3-trimethylbenzene ",101150,
"Benzoic acid, 2,5-bis(trimethylsiloxy)-, trimethylsilyl ester",30529,
4-Ethylbenzoic acid,52675,
Tetradecanoic acid,95175,
"2-Propenoic acid, 2-methyl-, methyl ester",6235,
4-Vinylbenzoic acid ,61502,
3-azido-2-hydroxy-N-(4-nitrophenyl)propane-1-sulfonamide,10879,
"(4aR*,7aR*)-3,4a,7,7a-Tetrahydro-3,3-dimethyl-6,7-diphenyl-7-oxacycxclopenta...",9370,
"1H-Indole, 2,3-dihydro-4-methyl-",56246,
"Carbamic acid, (cyanomethyl)-, 1,1-dimethylethyl ester",,216136
(3S)-3-Hydroxy-2-pyrrolidinone,,115355
"4,5-Dioxononanal",,23545
"1,4-Cyclohexanedione",,66106
"2,2-Dimethyl-4-(1'-aminoethyl)-1,3-dioxolane",,501698
(+)-Coronafacic acid,,3865241
2-Methyl-6-hepten-2-ol,,1490946
"1,5-dibromo-2,4-dimethyl-pentane ",,3188
TRI-TERT-BUTYLSILANE ,,48713
"Cyclopentane, 1,1,3-trimethyl-",,968438
"Furan, 3-methyl-",,62935
Methyl trans-2-(Cyanomethyl)cyclobutylcarbamate,,17583
"(1RS,6SR,8RS)-2-Aza-8-methyl-7-oxa-8-phenylbicyclo[4.2.0]octan-3-one",,18148
"N,N-Dimethyl-3-[naphthylthio]-3-(2'-thienyl)propylamine",,220169
2-Methylpent-4-en-1-ol,,109694
"(1RS,2SR)-9-Oxa-11-azabicyclo[6.3.0]undec-5-en-10-one",,80303
Pyrazolidine,,12632
1-Pentene,,13685
3-Methyl-1-(2-tetrahydropyranyloxy)-2-butene,,16581
tert-Butyl 2-hydroxypropylcarbamate,,226068
"Pentanoic acid, 2-fluoro-4-methyl-3-oxo-, ethyl ester",,16207
Cyclohexyl nitrate,,20520
(Z)-1-Amino-2-propananone -O-methyloxime,,27116
"(2R,4S,5R)-2-Iodomethyl-5-methyl-4-hydroxytetrahydrofuran",,147380
methyl mandelate (2S)-[3-13C]isobutyrate,,18844
Isobutyl acetate,,992744
"N,N'-Diallylsulfamide",,217853
ETILEFRIN-PROPIONYL,,49554
Amylene hydrate,,318095
4-Hydroxymethyl-1-azabicyclo[3.3.0]octane isomer,,48516
(-)-Asimilobine,,2925972
"2-Methoxy-6-phenyl-6,6a,7,8-tetrahydro-9aH-furo[3,2-c]quinoline isomer",,7874015
"8b,8c-cis-2,2,6,6-tetramethylperhydro-3a,4a,7a,8a-tetraazacyclopentano[def]f...",,334328
5-Methyl-2-(1'-methylenepropyl)cyclohexanol,,6559
2-Propanol,,141082
"2,5-Dimethyl-4-mercaptohexene",,29809
Ethylene glycol Formate Isobutyrate,,174043
Guanidine ,,62456
"Phenol, 2-(1-phenylethyl)- ",,12498
"(1S)-3-(3'-Acetoxy-1'-butynyl)-3-hydroxy-2,2,4-trimethylcyclohexyl acetate",,86236
piperidine hydrochloride ,,24271
"Acetic acid, trifluoro-, ethyl ester",,24028
"Bis(1,3-dimethyl-2-butenyl)ether (isomer B)",,4516
2-cyano-5-methoxypent-1-ene ,,6003543
"(1's,3s)-3-hydroxy-3-phenyl-n-(1-phenylethyl)propionamid",,28157
"3t-Bromo-1-vinyl-1c,2r-cyclohexanediol",,36217
"Acetic acid, butyl ester",,265600
"Diazene, dimethyl-",,444444
"3-(2-(2-METHYL-3-ALLYL-1,1-ETHYLENEDIOXYCYCLOPENTAN-2-YL)ETHYL)-1,5-HEXADIYNE",,41487
"1,1-Dimethoxy-octane ",,17217
1-(Pentachlorophenylsulfanyl)hex-5-en-2-one,,82868
5-Cyclohexyl-2-pyrrolidinone,,129842
1-methoxypentadecan-3-one,,13600
"(S)-6-Methoxycatrbonylmethyl-2,2-dimethyl-1,3-dioxan-5-one",,49270
"Carbonic acid, bis(2-ethylhexyl) ester",,66191
"(3S,4R)-4-Cyclohexyl-3-methylbutan-4-olide",,73525
Isobutane,,296179
N-Acetylcapramide ,,94731
(4S)-4-Hydroxy-1-pyrroline-N-Oxide,,46451
Benzadehyde O-benzyloxime,,517834
Ethylbenzene,,705418
3-Deuterio-2-nonanone,,112185
Methyl N-cyanomethanimidate,,258574
3-Hexen-2-one,,1554749
"3-Isoxazolamine, 5-methyl-",,796861
METHANAL-N-METHYL-N-FORMYLHYDRAZONE ,,180869
"2-Butanol, 3-methyl-",,125774
Germacranolide-valine dimer,,16877
"Ethanol, 2,2'-oxybis-, diacetate",,471992
"(1R,2S,5R)-5-Methyl-2-isopropylcyclohexyl (1R,4S)-2-Oxa-3-azabicyclo[2.2.2]o...",,1950
3-(4-Nitrophenyl)quinazolin-4(3H)-one,,140728
4-methoxymethoxybut-2-yne ,,2426
5-Methyl-3-methylene-1-decen-5-ol,,38265
"1,1'-Carbonyldiimidazole",,63528
"tert-Butyl (2E)-2,3,7-trideoxy-D-ribo-hept-2-enoate",,193129
Chlorine ,,24965
"5-(1-Ethoxyethoxy)ethyl-5-methyl-(5R)-1,3,2-dioxathiolane-2-dioxide",,14078
"Oxetane, 2,3,4-trimethyl-, (2.alpha.,3.alpha.,4.beta.)-",,968984
"exo-1-methyl-4-isopropyl-bicyclo[2.2.2]oct-5-ene-2,3-dicarboxylic anhydride",,13982
"rel-(2R,5R,.alpha.S)-.alpha.-(1-Methylethyl)-5-methyltetrahydrofuran-2-methanol",,45254
"2-Heptanone, 5-methyl-",,6868710
"4,6-Octadiyn-3-one, 2-methyl-",,94821
Pentadecannal,,29512
3-(4-Pivaloxybutyl)cyclohexanone,,7441
"1,4-Butanediamine, 2,3-dimethoxy-N,N,N',N'-tetramethyl-, [S-(R*,R*)]-",,391415
"Butanal, 2,2-dimethyl-",,671171
Valeric anhydride,,59730
"(2RS,4S)-[5-c(13)]-leucine",,21290
Ethyl (4'-ethoxy-6'-methyl-2H-pyran-2'-on-3'-yl)butenoate,,133527
"2,4-Bis(pyrazol-1'-yl)-3,5,6-trifluoropyridine",,59316
"(1R,2S,3R,5R)-2,5-Dimethylbicyclo[3.2.0]heptane-2.3-diol",,174621
"[1,3-13C2]-1,3-Cyclopentadiene",,131632
n-Heptyl methylphosphonofluoridate,,102452
3-Penten-2-one,,53024
Triformylmethane,,27005
"(anti,syn)-2-Hydroxy-5-ethylcyclopent-1-enecarboxylic acid methyl ester",,42454
"Cyclobutylamine, N-acetyl-",,8909739
Hexyl ethylphosphonofluoridate,,287806
"1,1,4,4-Tetramethoxybutane",,11752
"Methyl 2,2-dimethyl-3-phenyl-3-oxiranecarboxylate",,35155
Dihydro-5-(4-iodobutyl)-2(3H)-furanone,,35886
Neopentyl hydroxyacetate,,448682
(E)-trimethyl(pent-3-en-2-yl)stannane,,11723
Methyl vinyl ketone,,6526150
"2-(2-Pyridyl)-3-(trimethylsilyl)-5,6,7,8-tetrahydroquinoline",,1695042
(E/Z)-3-Isopropoxy-2-pentene,,22059
"methyl (2RS,4SR)-2-ethoxy-3,4-dihydro-4-{2-[(2-methoxyethoxy)methoxy]ethyl}-...",,13610
"Ethane, hexafluoro-",,186990
1-Acetyl-2-(isobutanoyl)ethylene,,154221
"(5R*,6R*)-5-Ethenyl-5-propyldodecan-6-ol",,135038
3-methoxy-3-methylbut-1-yne ,,11526
"(+)-(1R,4R,5S,6S)-5-exo,6-endo-dihydroxy-7-oxabicyclo[2.2.1]heptan-2-one",,16604
cis/trans-5-Phenyl-2-tetrahydrofurylmethyl 2'-pyridyl sulfide,,11420
Levulinamide,,50815
N-Allyl-2-(methylthio)allylamine,,15064
"2,3-Octanedione",,124353
"Pentane, 3-ethyl-2,4-dimethyl-",,2338190
Propanal,,1151736
"1-(FLUOROMETHYLPHENYLSILYL)-2,2,4,4,6,6-HEXAMETHYLCYCLOTRISILAZANE",,207863
Methyl (4'-methylphenyl)acetate,,42894
1-mercapto-2-methoxycarbonylaminobut-3-ene,,26819
Cyclooctylhydroperoxide,,117275
"1,1-Dimethylethyl hexanoate",,16666
(Z)-Pent-3-en-2-yl acetate,,66531
"Pyrazine, methyl-",,451638
"N-Methylsulfonylbicyclo[2.2.2]oct-5-ene-2,3-dicarboximide",,2566
2-[(2-Methyl-endo-2-norbornyl)oxy]-tetrahydropyran,,22464
2-(Formylamino)-2-methyl-N-(4'-nitrooxycyclohexyl)-propionylamide,,14807
"Ethyl 2-(1'-hydroxy-2',2'-dimethylpropyl )-5,6,6-trimethyl-3,4-heptadienoate",,47434
"Formamide, N-methyl-",,283801
"2-Propene-1,1-diol, diacetate",,47744
"2,2,4,4-Tetramethyl-3-thietanthione",,26468
1-Methyl-4-[(2-phenylpropenyl)sulfinyl]benzene,,848
Hexyl Heptanoate,,367849
"Methyl ester of 2S-(1,2,3,4,4a,5,6,7,8,8a.alpha.-Decahydro-1.alpha.,5.beta.-...",,124881
"Hexane, 3-ethyl-4-methyl-",,179106
i-Butylhydrazine.H2SO4,,73648
2-Octanone,,161473
Di(t-butyl) (trimethylsilyl) methylborane,,17066
"trans-Methyl 2-methyl-3-(2-hydroxyphenyl)-3,4-dihydro-1(2H)-isoquinoline-4-c...",,40521
Hex-5-en-2-one ethylene acetal,,259768
(R)-(+)-1-(3-tetrahydrofuryl)-1-oxo-2-hexyne,,12187
(S)-2-Mercapto-1-phenylethanol,,12636
"2,4-Bis(methylethyl)-2-methyl-2,5-dihydro-1H-imidazole",,40965
"1,5-Diazabicyclo[3.2.1]octane",,27362
"2,4-Dimethyl-6-(prop-1-enyl-1)-1,3-dioxan",,49489
"2-Thiophenecarboxylic acid, 4-nitrophenyl ester",,277373
8-Ethenyloxocan-2-one,,245673
"Methyl 1-(N,N-Dimethylaminomethyl)cyclobutane-1-carboxylate hydrochloride",,22058
Neopentyl 3-hydroxybutanoate,,1289541
"2H-Tetrazole, 2-methyl- ",,33965
"1H-pyrrole,-1-(4-hydroxy-1-oxobutyl)-",,39902
5-ETHYL-2-OXAZOLINDINONE ,,96020
1-(1-Hydroxybutyl)-2-methylcyclopropane ,,7153
2-((E)-1-Hydroxy-2-butenyl)cyclopentanone,,82517
"Pyrazine, 2,5-dimethyl-",,2285332
"Methyl (2S,3S)-2-Hydroxy-3-methylpentanoate",,102251
"Carbamic acid, (2-hydroxy-1-methylethyl)-, 1,1-dimethylethyl ester, (s)-",,27178
.epsilon.-Methyl-.epsilon.-caprolactone,,307576
"3-Hexanol, 5-methyl-",,544724
3-Acetoxybutyl trimethyl acetate,,63661
"Disulfide, diphenyl",,77473
"cis-3,4,5-Trimethoxy-7-phenyl-8-trimethylsilyl-7-trimethylsilyloxybicyclo[4....",,69806
6-Deutero-2-ethylpyridine ,,56668
6-[(4'-Nitrophenyl)sulfonyl]-6-azabicyclo[3.1.0]hexane,,40626
(S)-4-Methyl-.gamma.-butyrolactoneone,,34423
"2,7-Octanedione",,1997675
"(2E)-Penta-2,4-dienylcarbamic acid tert-butyl ester",,193686
"5-Octen-4-one, 7-methyl-",,671890
N-ETHYL-8-AMINO-p-MENTH-1-ENE,,59278
N-(2'-Hydroxy-1'-methyl-2'-phenylethyl)-trimethylacetamide,,5920
(R)-2-benzyloxy-1-tert-butyldiphenylsilanyloxy-3-(4-methoxy-benzyloxy)-propane,,22647
"1-Methyl-3,5-dioxo-4-oxa-9-thiatricyclo[5.3.0.0(2,6)]decane 9,9-dioxide",,3287
"6-Methoxy-endo-5-methyl-endo-tricyclo[5.2.1.0(2,6)]dec-8-en-3-one",,683488
Exomethylenecyclopent-2-yl(4-chloro-phenyl) sulfone,,3595662
"N,N-Diethyl-1-cyclopropyl-2-methylethylamine",,3157735
TRIDEUTEROMETHYL ETHYL ETHER ,,42347
"Ethyl (1R,2R)-2-formyl-1-methylcyclo[ropanecarboxylate",,62890
2-n-Propylaziridine,,82078
2'-Methyl-2'-propenyl 2-Propynaoate,,6387
Thiocarbonic acid O-but-3-enyl ester S-phenyl ester,,27947
(2R)-Cyclopentyl-1-phenyl-2-[(1S)phenylethylamino]ethanone,,2395
"4-fluor-1,2,3,5-dithiadiazolium",,29989
"1-Butanamine, N,N-dimethyl-",,9500
dipropylfluoroamine,,56628
"2,3-Dicyano-hexahydropyrrolo[1,2-b]isoxazol-4-ol",,3274
"Hetisan-6,11,12,15-tetrol, 15-(2-methylpropanoate), (11.beta.,15.alpha.)-",,79708
3-(Methoxymethoxy)cyclohexene ,,114064
1-Decyn-4-ol,,37524
N-iso-Propyl-4-bromo-3-pentanimine,,450941
"2,3-Dimethyl-1-hexene",,331015
"Thiophene, 3-methyl-",,42787
Hexanoylthiocholine,,453672
1H-Imidazol-2-amine,,970361
1-pentylethanoate,,446408
"Methyl 3,4-dimethyloctanoate",,92918
"Methyl trans-3-{1-(N-Benzyl-N-(2,2-bis(methylsulfanyl)ethyl)aminomethyl]-1(E...",,55885
"Pyrazine, trimethyl-",,182163
"TRANS-1,4-DIMETHOXY-2-PENTENE ",,32718
3-(2-Azido-1H-imidazol-4-yl)prop-2-ynyl]amine dihydrochloride,,41477
"Benzeneethanamine, N-(3-chloropropyl)-.alpha.-methyl- ",,261584
"Benzeneacetic acid, .alpha.-methoxy-, methyl ester, (.+/-.)-",,587480
"(trans)-1,2-Diaminocyclobutane-1,2-dicarbonitrile",,23902
"(R)-2-(1-(1-Naphthyl)ethoxy)-1,3-dimethyl-1,3,2-diazaphosphopholane",,11684
"(3SR,4SR,5RS)-5-Hydroxy-2,4-dimethylheptyl isobutanoate",,5350
1-Penten-3-one,,12551
"1,3-Diazetidine-2,4-dione, 1,3-bis(1-methylethyl)-",,19092
4-Hydroxyhex-2-en-1-al,,16627
"Benzene, 1,3-bis(1,1-dimethylethyl)-",,4218357
"2,3,4-Trimethyl-1-pentanol",,1444426
"2-Ethyl-3,5-dimethylpyridine",,79839
"(cis)-3-Hexene-2,5-dione ",,758431
3-Hydroxy-4-(3-methybut-2-enyl)oxybutanoic acid,,839433
3-Methy-2-hexen-5-ol,,528904
Isoflurophate,,516781
1-(Cyclobutylidenyl)propene ,,20556
3-Hydroxy-4-methylbenzaldehyde,,385974
Desoxyanisoin ,,256378
"endo-8-hydroxy-7,7-dimethyl-cis-bicyclo[3.3.0]octan-2-one-ethyleneacetal",,16607
n-Decyl prop-2-ynoate,,312693
"Formic acid, 2-ethylbutyl ester",,624470
2-(4-Methyl-3-oxocyclohex-4-enyl)propan-2-ol,,169606
"2-Octanol, 2,6-dimethyl-",,134950
"2-Benzyl-1.3-diethyl-4,6-diphenyl-1,3,2-diazaphosphorinane - 2-oxide",,16027
"2-Fluoro-1-iodo-2,4-dimethylhexane",,64695
cis-2-(1'-Chloro-1'-methylethyl)-5-methyltetrahydrofuran,,14742
"2-Hexanone, 3,4-dimethyl-",,149828
5-Methyl-4-octanone,,161744
"Methyl 2,6-Dideoxy-3,4-O-isopropylidene-.alpha.,L-lyxo-hexopyranoside",,50656
3-methylsulfinyl-3-methylbutan-1-ol,,26026
Butyl butenyl ether ,,83785
"3,3-(Ethylenedioxy)octanal ",,22705
"Acetic acid, octyl ester",,4333529
"2-Amidoxime-3-nitroimidazo[1,2-a]pyridine",,2636
"Ketone, isopropylidenecyclopropyl methyl",,739517
2-(1-Hydroxy-2-oxopropyl)cyclobutanone,,206478
"2,2-Difluoro-2-methylthio-1-(2-pyridyl)ethanol",,6350
Benzenesulphinic acid (-)-menthyl ester,,37459
"N,N'-bis( 9-Borabicyclo[3.3.1]non-9-yl)-N,N'-dimethylethylenediamine",,10477
4-Chloro-1-(2-furyl)-1-butanone,,103892
"3-Acetoxy-1,3-dimethylbutyl trimethyl acetate",,8393
"1,3-Dioxolane-2-propanal, 2-methyl-",,193346
"E-2,2,4-trimethyl-4-hexen-1-ol ",,441425
"Undecane, 5,6-dimethyl-",,224591
"2-Nitro-1-phenyl-1,3-propanediol",,1936373
"N-[(2E),(1S)-1-(Methylethyl)-5-oxohex-2-enyl](tert-butoxy)carboxamide",,31143
"2-Methyl[1,3,4]oxadiazole",,22985
"3,4-Di(p-methylphenyl)-1,2,4-oxadiazaspiro[4.6]undeca-6,8,10-triene",,2387
"2,3,4,5-Tetrahydro-7,8-dimethoxy-N-(trifluoroacetyl)-[(Z)-2-(trimethylsilyl)...",,95848
(Cyanomethyl)cyclohexane ,,12233
"rel-(2S,4R,6S)-2-(1',1'-Dimethylethyl)-4,6-dimethyl-1,3-dioxane",,351301
Neopentyl propanoate,,71748
(2E)-4-(2-Hydroxyethoxy)-2-pentene,,27108
"1'-(4-Methoxyphenyl)-1',3'-(1-chloro-1""-cyanoethano)spiro{naphthalene-1(2H)...""",,77166
"TRANS-2-METHOXY-3,4-EPOXY-4-METHYLTETRAHYDRO-4H-PYRAN-4-ONE",,31182
4-nitrophthalamide ,,7373390
N-[3'-Benzylthiazolidin-2'-ylidene]-4-chlorobenzene-sulfonamide,,7468938
"4,8-Dimethyl-3(E),7-nonadienyl Thioacetate",,54602
"(+-)-(2s*,3r*,4r*,5r*)-tetrahydro-5-isobuty-2,3-dimethyl-4-(phenylthio)-3-fu...",,63129
"1,7-Dioxaspiro[5.5]undeca-3,10-diene",,11574
"3-Octanol, 6-ethyl-",,293920
2-Methyl-4-penten-2-ol ,,347750
"(4S)-4-Methyl-2-nitro-1,3-hexanediol",,134087
tert-Butyl-N-(2-fluoro-2-(1-methylvinyl)-4-pentylidene)amine,,115812
"Propanenitrile, 3,3-dimethoxy- ",,187108
"Methane, sulfinylbis-",,143436
"(4R)-5,5-Dimethyl-4-hydroxyhept-6-en-3-one",,82420
"8-(3',5'-Dimethylisoxazol-4'-yl)-8-oxooctanoic acid",,206498
"1,2-Epoxy-p-menthan-4-ol",,34081
(S)-3-Ethyl-4-methylpentanol,,599553
"2,4-Dihydroxybenzaldehyde, 2TMS derivative",,6318573
"9,10-Anthracenedione, 1,4-dihydro-5-hydroxy-2,3-dimethyl-8-(methylamino)-",,954759
"1-tert-Butyl-4,4,4-trichloro-3-(1-methylcyclopentyl)-1,2,4-azaphosphavanada(...",,1116207
"Methyl 5-endo-4-hydroxy-2,5,7,7-tetramethylbicyclo[2.2.2]oct-2-en-5-carboxylate",,10571
3-Isopropylidenetetrahydrofuran-2-one,,26023
Ethyl vinyl sulfone,,27402
Betazole,,61943
"2-ACETOXY-1-ACETYL-6-(1-ADAMANTYL)THIO-3-HYDROXY-3,5-DIMETHYL-1,2,3,6-TETRAH...",,55158
"(E)-1,3-butadienyl-thiocyanate",,60788
"2-Methylbenzoic acid, 2-fluorophenyl ester",,100994
"2,6-Octadiene",,60677
N-(1-Aza-2-methylprop-1-enyl)(4'-sulfanylbutylthio)carboxamide,,5308
2-(1'-BROMO-1'-METHYLETHYL)PYRIMIDINE ,,30319
trans-O-(2-acetoxycyclohexyl)-N-isopropylhydroxylamine,,12807
(E)-3-Hexenyl (t-Butyl) Carbonate,,13181
"(E/Z)-2-(3-Ethoxy-1-methyl-2-propenyl)-2-methyl-1,3-cyclopentanedione",,21390
N-Benzyl-3-[1'-(2'-hydroxy-2'-phenyl)ethyl]pyrrolidine,,310560
"1,5-Dimethyl-2-pyrrolecarbonitrile",,335314
"1,1'-Ethylenedi-2-imidazoline",,8062
Butanoic acid,,68645
"3-Formyl-N-methyl-9-[phenylethynyl]dibenzo[2,3-a : 5,6-a'] (1,4)-thiazine",,1916905
(S)-(+)-5-sec-Butyl-2-pyrimidinol,,25028
"2,4-Pentadienyl 3-butenoate",,86099
"Cyclobutane, 1,1,2,3,3-pentamethyl-",,127426
2-(Allylamino)ethanol,,215196
"Decanoic acid, ethyl ester",,695445
(E)-1-(2-Tetrahydropyranyloxy)-6-nonene,,8551
(E)-1-[2-(Trimethylsilyl)ethynyl]-2-t-butoxycyclopropane,,32808
Trimethylaminophosphanylborane [H2PBH3.NMe3],,16565
