Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
5-(2'-oxopropyl)isoxazole ,10809,120697
5-Cyclohexyl-2-pyrrolidinone,129842,5769
7-alpha-methacryloyloxy- or -tiglinoyloxy-9-beta-methacrycoyloxy-or -tigli…,2636,54184
Acetic acid,3319033,5218826
"Acetic acid, decyl ester",3543917,3575251
"Acetic acid, decyl ester",358730,311304
"Acetic acid, nonyl ester",676430,550881
"Acetic acid, octyl ester",4333529,4330279
"Acetic acid, phenylmethyl ester",1833842,2175431
Acetone,7706009,7258207
Acetone,122323,912051
"Acetophenone, 4'-amino-",143413,147170
"Benzene, 1,3-bis(1,1-dimethylethyl)-",4218357,3638539
Benzeneethanol,103484,82319
"Benzenemethanol, .alpha.-methyl-, propanoate",402155,455849
"Benzofuran, 2-methyl-",39137,33848
Benzoic acid,504722,498811
"Benzoic acid, 3-methyl-, methyl ester",69379,82881
"Benzoic acid, methyl ester",1303911,1510219
Benzyl alcohol,4211337,3640221
"Butane, 2-methoxy-2-methyl-",165939,168580
Butanoic acid,68645,79531
"Carbamic acid, (2-hydroxy-1-methylethyl)-, 1,1-dimethylethyl ester, (s)-",27178,32546
cis-2-(1'-Chloro-1'-methylethyl)-5-methyltetrahydrofuran,14742,14172
cis-2-Carbomethoxy-4-[(1-chloro-1-methyl)ethyl]terahydrofuran,66835,37380
cis/trans-5-Phenyl-2-tetrahydrofurylmethyl 2'-pyridyl sulfide,11420,26452
"Cycloheptasiloxane, tetradecamethyl-",840880,2000187
"Cyclohexasiloxane, dodecamethyl- ",5319931,1682519
"Cyclononasiloxane, octadecamethyl-",166596,378275
"Cyclooctasiloxane, hexadecamethyl-",332480,425751
Cyclooctylhydroperoxide,117275,68386
Cyclooctylhydroperoxide,75104,55807
Cyclopentadecanone,2375979,2437007
"Cyclopentasiloxane, decamethyl-",3259837,2749092
"Cyclopentasiloxane, decamethyl-",4906822,4711255
"Cyclotetrasiloxane, octamethyl-",377630,9388167
"Cyclotetrasiloxane, octamethyl-",2438134,4069218
"Decanoic acid, ethyl ester",695445,805826
Desoxyanisoin ,256378,245186
Dibutyl phthalate,39223,80458
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,487477,454533
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,485006,477785
Dimethyl ether,52903131,53686574
"Disulfide, diphenyl",77473,11039
Dodecanoic acid,352466,62633
"Dodecanoic acid, ethyl ester",922487,947306
"Ethane, hexafluoro-",186990,199328
