Name,PC1,PC2
"3-Methylbut-2-enoic acid, 2-dimethylaminoethyl ester",0.03728180348578922,0.00311356480853022
"1-Acetyl-4,5-dihydro-1H-pyrazole",0.03728098272565661,0.003071936205541622
"DL-2,3-Butanediol",0.03728030777820788,0.0030712427420270996
"2,6-Diisopropylfuran",0.03727935633050628,0.003115669473888814
"Pentane, 2,2,4-trimethyl-",0.03727898446683745,0.0030699343411318735
(+-)-Methyl 1-(1-chloro-2-phenyl-2-oxoethyl)-1H-tetrazole-5-carboxylate,0.037278893960675095,0.0030698471287111608
"Pentane, 2-chloro-",0.03727728027735535,0.003117284862412495
(E)-2-(But-2-enyloxy)butan-2-one,0.037276642554738004,0.0030677593680884475
Guanidine carbonate,0.03727595791300129,0.0030671525427342734
"3-Penten-2-one, 3-methyl-",0.037275590799711864,0.003066831981493624
"(2S)-2-Allyloxy-1,4-bis[(methanesulfonyl)oxy]butane",0.037275586906076984,0.0030668285990630784
"(RS)-3,4-Dihydro-4-methyl-2-pyridone",0.037275214108261685,0.0030665064069939777
1-Methoxyhexan-2-ol,0.03727435151018486,0.003065773049540409
"3-(t-Butyl)-4,4-dimethyl-1-penten-3-ol",0.03727277650767145,0.00306447444121032
2-Nitro-1-phenylpent-4-ene-1-one,0.03727259326765892,0.0030643265135218995
.alpha.-Isobutyl-.alpha.-(formylamino)acetonitrile,0.03727157664687948,0.0030635169185400657
methyl hydroxycarbamoyldiazirine-3-carboxylate,0.0372692436722302,0.0030617244036103275
"3-(Chloromethyl)-1,1,2,2-tetramethylcyclopropane",0.03726868974205702,0.003061311008961012
"(1,1,2,3,3,3-hexafluoropropyl)cyclopentane",0.037267926825359364,0.0030607487215981288
1-METHOXY-1-(TRICHLOROMETHYL)CYCLOHEXANE,0.0372678681444298,0.00306070580202295
anti-3-Methyl-5-methylenenon-2-en-4-ol,0.037267274017649066,0.0030602738291822633
"4-hydroxy-4-(trifluoromethyl)-2,5-cyclohexadien-1-one",0.03726690549000551,0.003060008189990218
Phosphorus trifluoride,0.037265922170598216,0.003124428167128843
Cyclododecane,0.0372651663557682,0.0030587771996471785
Formamide,0.037264689625143066,0.003125085402130186
"trans-3-Hexene-2,5-dione",0.037264434881107575,0.003125219088446314
(R)-1-(Methoxyethoxymethoxy)methyl-1-methyloxirane,0.03726417159815079,0.0030580888957021787
Methyl propargyl ether,0.037263565397610166,0.0031256700645434956
1H-Pyrrole-2-carboxaldehyde,0.03726304789554215,0.0030573242537720972
Cyclopropane,0.03726163123167689,0.0031266452954939045
"1,3-Benzenediol, o-(4-ethylbenzoyl)-o'-(3-methylbenzoyl)-",0.037259371574036734,0.003127739737935113
.gamma.-1-Acetoxyethyl-1-methyl-c-2-isopropenylcyclobutane,0.03725904537979475,0.0030547007686243764
