Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara_iAAl,,,,,,,
Chromafenozide,7810558,5357499,,,,,,,
cis-2-Carbomethoxy-4-[(1-chloro-1-methyl)ethyl]terahydrofuran,125788,60583,,,,,,,
"Cycloheptasiloxane, tetradecamethyl-",1985866,3241794,,,,,,,
"Cyclohexasiloxane, dodecamethyl- ",9240859,2726935,,,,,,,
"Cyclohexene, 1-methoxy-",73414,72880,,,,,,,
"Cyclononasiloxane, octadecamethyl-",483520,613088,,,,,,,
"Cyclooctasiloxane, hexadecamethyl-",773991,690034,,,,,,,
"Cyclooctasiloxane, hexadecamethyl- ",534394,520485,,,,,,,
Cyclopentadecanone,3474987,3949768,,,,,,,
"Cyclopentanone, 2,4,4-trimethyl-",2365138,1642716,,,,,,,
"Cyclopentasiloxane, decamethyl-",8974106,4455579,,,,,,,
"Cyclotetrasiloxane, octamethyl-",17060236,15215830,,,,,,,
"Cyclotrisiloxane, hexamethyl-",604284,29065580,,,,,,,
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,902946,736682,,,,,,,
"diethyl 2,6-dimethyl-4-(3-pyridazinyl)-1,4-dihydropyridine-3,5-dicarboxylate",33152,37621,,,,,,,
Dimethyl ether,101868907,87012276,,,,,,,
"Disulfide, dihexyl",158178,358013,,,,,,,
"Disulfide, dimethyl",16027214,14604974,,,,,,,
Dodecanoic acid,779729,101512,,,,,,,
"Dodecanoic acid, ethyl ester",1122273,1535342,,,,,,,
"Ethanone, 1-(2,3,4-trimethylphenyl)-",196727,201303,,,,,,,
"Ethanone, 1-(2,4-dimethylphenyl)-",706383,541339,,,,,,,
"Ethanone, 1,1'-(1,4-phenylene)bis-",89831,73420,,,,,,,
"Ethyl (2'-nitro-3'-oxo-6',7'-dihydro-3H,5H-benzo[ij]quinolizin-1'-yl)-cyanoa...",57853,704232,,,,,,,
Ethyl 9-hexadecenoate,1099357,1109618,,,,,,,
Ethyl 9-tetradecenoate,1974426,1617368,,,,,,,
Ethyl Acetate,5208617,28086222,,,,,,,
Farnesol ,274701,67814,,,,,,,
Formic acid,551190,386809,,,,,,,
"Hexadecanoic acid, ethyl ester",574472,536582,,,,,,,
"Hexanoic acid, 5-oxo-, methyl ester",241028,83162,,,,,,,
Indole,169685381,155210561,,,,,,,
Isophthalaldehyde,216414,478588,,,,,,,
Lauryl acetate,1091026,4222598,,,,,,,
"Methane, dimethoxy-",98396,76141,,,,,,,
Methyl 3-hydroxy-2-(p-toluenesulfonyloxy)methyl-10-tetrahydropyranyloxydecan...,36121,15323,,,,,,,
"Methyl 5-[3,3-bis(trimethylsilyl)oxiran-2-yl]pentanoate",23403,26639,,,,,,,
Methyl Isobutyl Ketone,2266344,1664827,,,,,,,
Methylene chloride,327203,219462,,,,,,,
OCTADECAMETHYLCYCLONONASILOXANE ,317002,326838,,,,,,,
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",7008058,6363695,,,,,,,
p-Cresol,262322,151553,,,,,,,
"PENTAN-1,3-DIOLDIISOBUTYRATE, 2,2,4-TRIMETHYL- ",247734,588091,,,,,,,
"Pentane, 1-propoxy-",227972,319308,,,,,,,
"Pentane, 3,3-dimethyl-",217292,2678995,,,,,,,
Phenol,264061,207254,,,,,,,
"Propanoic acid, 2-methylpropyl ester",162154,134857,,,,,,,
"Propanoic acid, decyl ester",236918,123686,,,,,,,
"Propanoic acid, ethyl ester",7244491,8761423,,,,,,,
rac-(+-)-2-(tert-Butylsulfonyl)pentyl acetate,584441,29908,,,,,,,
t-Butyl 2-methylsuccinate,182935,129300,,,,,,,
"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv.",52838,41583,,,,,,,
"Tetradecanoic acid, ethyl ester",1651599,1639658,,,,,,,
Toluene,12076480,8459125,,,,,,,
(E)-2-(But-2-enyloxy)-N-methoxy-N-methylacetamide,70671,,,,,,,,
"(2S,3S)-3-Methoxy-2,4-dimethylpentanol",57842,,,,,,,,
"Heptane, 4-methyl-",1026299,,,,,,,,
3-Oxobutyramide,447156,,,,,,,,
"Cyclohexanone, 3-methyl-",33429,,,,,,,,
Ethyl 2-oxirane-2-acetate,51336,,,,,,,,
tris(Trimethylphosphane) rhodium chloride,38260,,,,,,,,
Butyl trifluoroacetate,181693,,,,,,,,
"Bis(3,4-dimethoxycinnamoyl)-L-tartaric acid",14552634,,,,,,,,
1-(2-Methylphenyl)pentan-1-one,1564338,,,,,,,,
"Furan, tetrahydro-2,2,5,5-tetramethyl-",4644296,,,,,,,,
Bis(4-methylpiperazin-1-yl)methane,2609941,,,,,,,,
2-Methyl-1-cyclopentanol,322296,,,,,,,,
"Isopropyl 3,7,11-trimethyl-11-methoxy-2-.xi.-dodecenoate",86526,,,,,,,,
N-Methylformide ,923654,,,,,,,,
Acetonitrile-d3,190859,,,,,,,,
Allyl Butyl Ether,270704,,,,,,,,
Benzene,2152017,,,,,,,,
"3,5-Dimethylbutyrolactone ",9833,,,,,,,,
N-Allylacetamide,13691,,,,,,,,
3-(2'-N-tert-Butoxycarbonylaminoethyl)cyclohex-2-en-1-one,4526407,,,,,,,,
"2,7-exo-4,11,6-Dioxazatricyclo[6.2.1.0(2,7)]undec-9-ene-3,5-dione",20136,,,,,,,,
2-(Dibromomethyl)tetrahydropyran,26234,,,,,,,,
"cis-2-(2,2-Dichloroethyl)-3-methyloxetane",21675,,,,,,,,
"Formic acid, 2-methylpropyl ester",446517,,,,,,,,
2-Pentanone,8538199,,,,,,,,
"(3S,4S)-Hept-1-en-6-yne-3,4-diol",328783,,,,,,,,
5-Hexen-3-one,314613,,,,,,,,
"[1R*,5S*]-1-(Phenylsulfonyl)-2-oxo-3-oxabicyclo[3.1.0]hexane",1996,,,,,,,,
"Ether,1- propenyl propyl",1101656,,,,,,,,
anti-3-Methyl-5-methylenenon-2-en-4-ol,66638,,,,,,,,
N-Methyl-2-isopropoxycarbonylazetidine,89368,,,,,,,,
"1,3-diacetoxypropa-2-one",382565,,,,,,,,
Propyl pyruvate,473113,,,,,,,,
"Methyl (2RS,3SR,4RS)-2-phenyl-4-(phenylseleno)tetrahydro-3-furancarboxylate",28143,,,,,,,,
"DL-2,3-Butanediol",291619,,,,,,,,
"1-Propene, 3-fluoro-",592108,,,,,,,,
"Hydrazine, 1,1-dimethyl-",979481,,,,,,,,
(S)-3-tert-Butylperoxy-1-cyclohexene,1039,,,,,,,,
1-(1-Ethoxyethoxy)-5-pentanol,30171,,,,,,,,
"3,5,7-Trimethyloxepan-2-one",68091,,,,,,,,
(RS)-4-(tert-Butoxy)-3-methylbutanal,36061,,,,,,,,
"2,3-Dimethylsuccinodinitrile",122086,,,,,,,,
"Pentane, 2,2,4-trimethyl-",55431,,,,,,,,
"Furan, 2,3-dihydro-4-methyl-",394574,,,,,,,,
Thiazole,16394,,,,,,,,
CROTONIC ANHYDRIDE,99074,,,,,,,,
.alpha.-Methylbenzylnitrile,49264,,,,,,,,
3-Methyl-1(E)-3butadienyl tert-butyl sulfide,227379,,,,,,,,
(-)-Lavandulol ,75351,,,,,,,,
"2-Octenal, (E)-",49392,,,,,,,,
2-carbomethoxy-bicyclo[2.2.1]heptane(exo) ,36628,,,,,,,,
Hydrazino(3-phenylsydnon-4-yl)methanone oxime,17751,,,,,,,,
"2,2-Dimethyl-3-(2-methyl-1-propyl)cyclobutanone",178253,,,,,,,,
"1,3-Propanediol, 2-methyl-2-propyl-, dicarbamate",169082,,,,,,,,
Cyclopropane,300822,,,,,,,,
methyl monoterpenyl succinate,9266,,,,,,,,
"3,3-dimethyl-2-phenylbutyl phenyl sulfone",20890,,,,,,,,
(+-)-3-Hydroxy-2-methylenepentanoic acid,41264,,,,,,,,
"anti-4-Ethoxy-4,5-dihydro-5-methoxy-5-methyl-2(3H)-furanone",119558,,,,,,,,
Diisobutyl cellosolve,245052,,,,,,,,
.alpha.-(3-hydroxyphenoxy)acetophenone,678052,,,,,,,,
Hydrogen isocyanate,1028641,,,,,,,,
3-O-Ethoxymethyl-17.alpha.-carboxymethyl-17.beta.-estradiol,189322,,,,,,,,
Methyl trifluoroacetate,526217,,,,,,,,
1-bromo-1-chloropentane ,55831,,,,,,,,
(S)-4-Aminobenzyl methyl sulfide,94604,,,,,,,,
"3-Penten-2-one, 3-methyl-",3314755,,,,,,,,
1-Nitro-2-(but-3-enyl)cyclohexane,43714,,,,,,,,
methyl hydroxycarbamoyldiazirine-3-carboxylate,179089,,,,,,,,
2-Propenoic acid,83946,,,,,,,,
"Orthoformic acid, triisobutyl ester",9628405,,,,,,,,
(R)-1-(Methoxyethoxymethoxy)methyl-1-methyloxirane,1031126,,,,,,,,
"N,N-Dimethyl-2,2-bis(1'-naphthyl)acetamide",141645,,,,,,,,
"N-(Tosylmethyl)-2,2-dimethylpropanamide",212771,,,,,,,,
"2-(diphenylphosphinoyl)-5,5-dimethyl-1,3-dioxane",182823,,,,,,,,
4-Fluoropyridine,18147,,,,,,,,
Bicyclo[2.1.0]pentane ,107688,,,,,,,,
4-Picolyl butyl ether ,12814,,,,,,,,
"(RS)-3,4-Dihydro-4-methyl-2-pyridone",328149,,,,,,,,
"Butane, 1-chloro-",1729859,,,,,,,,
10-Methoxydec-8-yn-7-one,10195,,,,,,,,
"3-Heptanone, 2,4-dimethyl- ",131444,,,,,,,,
"Benzene, 1,3-dimethyl-",151801,,,,,,,,
"1-O-Acetyl-2-azido-2,3,6-trideoxy-.alpha.-DL-ribo-hexopyranose",18463,,,,,,,,
"2-Propenoic acid, methyl ester",36232,,,,,,,,
"1,6-Anhydro-2-chloro-.beta.,D-erythro-hex-3-enpyranose",3742,,,,,,,,
1-Methoxyhexan-2-ol ,126413,,,,,,,,
2-Pyridinecarboxylic acid,125106,,,,,,,,
"2(3H)-Furanone, dihydro-5-propyl-",86121,,,,,,,,
"4-Allyl-5,5-dimethylcyclohexane-1,3-dione",1264,,,,,,,,
"1-Cyano-2,6-dimethyl-1,5-heptadien-3-ol",35840,,,,,,,,
"4,4-Dimethoxybutanal",100426,,,,,,,,
exo-3-(Phenylsulfonyl)bicyclo[3.2.1]octan-8-one,217019,,,,,,,,
"Propanal, 2-methyl-",249978,,,,,,,,
E-Citral ,79162,,,,,,,,
2-Acetyl-2-methyltetrahydrofuran,244595,,,,,,,,
N-Methoxy-N-methylpropionamide,38450,,,,,,,,
"(1S,6R)-6-Methyl-3-isopropyl-5-oxocyclohex-3-enecarbonitrile",533651,,,,,,,,
(S)-2-Ethyl-5-oxotetrahydrofuran-2-carboxylic acid,176292,,,,,,,,
t-Butyl .alpha.-Cyano-.alpha.-(formylamido)-.beta.-(p-methylphenyl)propanoate,24617,,,,,,,,
p-Methylhydrocinnamic acid ,7704,,,,,,,,
2-Oxetanone,257234,,,,,,,,
"1-(exo)-dimethoxymethyl-4,7-bis(trifluoromethyl)-1a,5,7a,7b-tetrahydro-1H-cy...",3455307,,,,,,,,
1-METHOXY-1-(TRICHLOROMETHYL)CYCLOHEXANE,22647,,,,,,,,
4-Ethyl-2-methylpyrrole-3-carbonitrile,99855,,,,,,,,
N-(But-2-enoyl)prop-2-enamide,294900,,,,,,,,
"1,1,2,2,3-hexafluoro-4-decanone ",36957,,,,,,,,
"(1S,5S)-2-oxa-6-azabicyclo[3.3.0]octan-3-one",30586,,,,,,,,
"1,3-Benzenediol, monobenzoate",20859,,,,,,,,
1-Acetoxymethyloxyundec-10-ene,43019,,,,,,,,
Cyclopropylmethyl cyclopropane-1-carboxylate,11918,,,,,,,,
"2,2,6-Trimethyl-4H-1,3-dioxin-4-one",4693312,,,,,,,,
"N-Allyl-N,N-dimethylamine",4101266,,,,,,,,
"3,3',5,5'-TETRAMETHYL-1,1'-BIADAMANTE",108929,,,,,,,,
"Ethyl 4-(chloromethylene)-2,2-diphenyl-3-oxazoline-5-carboxylate",786775,,,,,,,,
Octyl Trifluoromethylsulfoxide,99284,,,,,,,,
(S)-3-Amino-4-cyclohexyl-2-methylbutan-2-ol,93686,,,,,,,,
"N-(1'-Ethyl-4'-piperidinyl)-2-methoxy-5-[N-methyl-N-(4""-toluenesulfonyl)amin...",153649,,,,,,,,
