Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
"2-Octenal, (E)-",49392,181341
2-Oxetanone,257234,575871
2-Pentadecanone,6895362,9805280
2-Pentanone,8538199,7939218
"2-Pentyne, 5-methoxy-",20086,82933
2-Propenoic acid,83946,44474
"2-Propenoic acid, 3-phenyl-, 2-methylpropyl ester",55532,80274
2-Tetradecanone,2328162,968625
2-Tridecanol,1456941,1215165
2-Tridecanone,17753275,24250240
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,3223364,1635688
"3,3,6-trimethyl-2-methylene-4-oxo-2,3-dihydrofuro[3,2-c]pyran",58359,75871
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",106472,84062
3-O-Ethoxymethyl-17.alpha.-carboxymethyl-17.beta.-estradiol,189322,1011228
3-Tetradecanone,310152,183790
4-(2'-methyltetrahydrofuran-2'-yl)butanone,10673,44266
"4,4-Dideuteriomethoxycyclohexane",56270,47355
"4,4-Dimethoxybutanal",100426,298133
4-Fluoropyridine,18147,37014
4-Methyl-2H-pyran,207623,288667
4-Quinolinecarboxaldehyde,72859,103125
5-(2'-oxopropyl)isoxazole ,525362,21446
5-Chloro-3-(p-ethylphernyl)-2-nitrothiophene,222777,75002
5-Hexen-3-one,314613,335937
"6-Methyl-2,6-heptadienal ",167500,123804
6-n-Butyltetrahydropyran-2-one,21768,82188
7.ALPHA.-METHACRYLOYLOXY- OR -TIGLINOYLOXY-9.BETA.-METHACRYCOYLOXY-OR -TIGLI...,39171,5230
Acetic acid,6883180,6585383
"Acetic acid, nonyl ester",691190,1342123
Acetone,16165071,15289700
Acetophenone,984710,1218335
"anti-4-Ethoxy-4,5-dihydro-5-methoxy-5-methyl-2(3H)-furanone",119558,104200
Benzene,2152017,1911706
"Benzene, 1,3-dimethyl-",151801,372185
"Benzenemethanol, .alpha.-methyl-, propanoate",337844,797927
"Benzenemethanol, 4-methyl-",1968009,2080520
Benzoic acid,1040225,1001433
"Benzoic acid, 3-methyl-, methyl ester",119426,137657
"Benzoic acid, methyl ester",2387677,2587125
Benzyl alcohol,7368589,8355827
Butanal,27862,34470
"Butane, 2-methoxy-2-methyl-",372859,329244
cis and trans-3-(Fluorodimethylsilyl)cyclohexyl acetate,335024,427218
"cis-2-(2,2-Dichloroethyl)-3-methyloxetane",21675,30077
cis-2-Carbomethoxy-4-[(1-chloro-1-methyl)ethyl]terahydrofuran,125788,132609
"Cycloheptasiloxane, tetradecamethyl-",1985866,1668413
"Cyclohexasiloxane, dodecamethyl-",3006260,2899687
"Cyclohexasiloxane, dodecamethyl- ",9240859,10555419
"Cyclononasiloxane, octadecamethyl-",483520,330548
"Cyclooctasiloxane, hexadecamethyl-",773991,659683
Cyclopentadecanone,3474987,4714244
"Cyclopentasiloxane, decamethyl-",8974106,6467931
"Cyclotetrasiloxane, octamethyl-",17060236,749266
"Cyclotrisiloxane, hexamethyl- ",599204,30567185
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,902946,967216
Dimethyl ether,101868907,104966530
Dodecanoic acid,779729,699337
"Dodecanoic acid, ethyl ester",1122273,1830331
"Ethanol, 2-(3,3-dimethylcyclohexylidene)-",274333,330639
"Ethanone, 1-(2,3,4-trimethylphenyl)-",196727,179256
"Ethanone, 1-(2,4-dimethylphenyl)-",706383,714560
"Ethanone, 1,1'-(1,4-phenylene)bis-",89831,92863
Ethyl 2-oxirane-2-acetate,51336,5409
Ethyl 9-hexadecenoate,1099357,1251169
Ethyl 9-tetradecenoate,1974426,1955911
Ethyl Acetate,5208617,33877917
Farnesol ,274701,107315
"Formic acid, 2-methylpropyl ester",446517,350516
"Furan, tetrahydro-2,2,5,5-tetramethyl-",4644296,315806
"Heptane, 4-methyl-",1026299,883083
"Hexadecanoic acid, ethyl ester",574472,646782
Hydrogen isocyanate,1028641,10911488
Indole,169685381,180704821
Isophthalaldehyde,216414,607734
isopropyl(trans-2-methylcyclopentyl)isopropoxyborane,49108,81704
Lauryl acetate,1091026,5579764
"Methane, isocyanato-",461513,38542
Methoxycyclopentaneacetonitrile,72377,25702
Methyl Isobutyl Ketone,2266344,2001073
"methyl tetradeca-12,13-dienoate ",98567,26903
N'-(Iodotetrafluoroethoxytetrafluoroethyl)sulfonyl-N-(diethylamino)cyclopent...,16487,18974
N-Allylacetamide,13691,12798
OCTADECAMETHYLCYCLONONASILOXANE ,317002,371982
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",7008058,7842782
"Orthoformic acid, triisobutyl ester",9628405,9760200
p-Cresol,262322,171550
Pentanoic acid,493944,504284
Phenol,264061,266700
"Phthalic acid, butyl cyclobutyl ester",98704,115923
"Propanoic acid, 3-chloro-, 4-formylphenyl ester",29691,48482
"Propanoic acid, decyl ester",236918,173361
"Propanoic acid, ethyl ester",7244491,9997841
"Pyrazine, 2-ethyl-6-methyl-",692970,670448
Quinoline,66883,81405
"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv.",52838,63958
TETRACOSAMETHYLCYCLODODECASILOXANE ,998574,1079925
"Tetradecanoic acid, ethyl ester",1651599,2644355
Toluene,12076480,11376109
trans-1-Butyl-2-methylcyclopropane ,40515,29603
(E)-2-(But-2-enyloxy)-N-methoxy-N-methylacetamide,70671,
"(2S,3S)-3-Methoxy-2,4-dimethylpentanol",57842,
