Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
"5-(1-Ethoxyethoxy)ethyl-5-methyl-(5R)-1,3,2-dioxathiolane-2-dioxide",27933,20425
5-(2'-oxopropyl)isoxazole ,21446,195619
5-Cyclohexyl-2-pyrrolidinone,257623,9350
7-alpha-methacryloyloxy- or -tiglinoyloxy-9-beta-methacrycoyloxy-or -tigli…,5230,87818
Acetic acid,6585383,8458389
"Acetic acid, decyl ester",7031581,5794572
"Acetic acid, decyl ester",711766,504545
"Acetic acid, nonyl ester",1342123,892838
"Acetic acid, octyl ester",8598272,7018280
"Acetic acid, phenylmethyl ester",3638575,3525820
Acetone,15289700,11763707
Acetone,242704,1478203
"Acetophenone, 4'-amino-",284550,238525
"Benzene, 1,3-bis(1,1-dimethylethyl)-",8369756,5897146
Benzeneethanol,205325,133418
"Benzenemethanol, .alpha.-methyl-, propanoate",797927,738815
"Benzofuran, 2-methyl-",77653,54859
Benzoic acid,1001433,808446
"Benzoic acid, 3-methyl-, methyl ester",137657,134329
"Benzoic acid, methyl ester",2587125,2447681
Benzyl alcohol,8355827,5899872
"Butane, 2-methoxy-2-methyl-",329244,273225
Butanoic acid,136200,128900
"Carbamic acid, (2-hydroxy-1-methylethyl)-, 1,1-dimethylethyl ester, (s)-",53925,52749
cis-2-(1'-Chloro-1'-methylethyl)-5-methyltetrahydrofuran,29250,22969
cis-2-Carbomethoxy-4-[(1-chloro-1-methyl)ethyl]terahydrofuran,132609,60583
cis/trans-5-Phenyl-2-tetrahydrofurylmethyl 2'-pyridyl sulfide,22659,42872
"Cycloheptasiloxane, tetradecamethyl-",1668413,3241794
"Cyclohexasiloxane, dodecamethyl- ",10555419,2726935
"Cyclononasiloxane, octadecamethyl-",330548,613088
"Cyclooctasiloxane, hexadecamethyl-",659683,690034
Cyclooctylhydroperoxide,232688,110836
Cyclooctylhydroperoxide,149016,90449
Cyclopentadecanone,4714244,3949768
"Cyclopentasiloxane, decamethyl-",6467931,4455579
"Cyclopentasiloxane, decamethyl-",9735758,7635746
"Cyclotetrasiloxane, octamethyl-",4837567,6595167
"Cyclotetrasiloxane, octamethyl-",749266,15215830
"Decanoic acid, ethyl ester",1379851,1306039
Desoxyanisoin ,508687,397384
Dibutyl phthalate,77823,130402
