Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
"PENTAN-1,3-DIOLDIISOBUTYRATE, 2,2,4-TRIMETHYL-",,
"Pentane, 2,2,4-trimethyl-",29822,24931
Phenol,142065,139525
Phenylethyl Alcohol,233783,109224
Propanoic acid,,2612940
"Propanoic acid, 3-chloro-, 4-formylphenyl ester",15974,18983
"Propanoic acid, decyl ester",127462,92485
"Propanoic acid, ethyl ester",3897536,2346372
rac-(+-)-2-(tert-Butylsulfonyl)pentyl acetate,314429,267831
S-Cyclopropyl Cyclopropanethiosulfonate,8949,15834
Thiazole,8820,5477
trans-1-Butyl-2-methylcyclopropane,,
"trans-2,4-Bis(tert-butyldimethylsilyl)-1,3-dithietan-1,1,3,3-tetraoxide",12978,1202444
"trans-2-(2-Ethenylcyclohexyl)-2-methyl-1,3-dioxolane",238664,41490
tris(Trimethylphosphane) rhodium chloride,20584,13702
(-)-1-methyl-2-norcaranone,,67496
"(+)-(1R,2R,3R,4S)-1,4-Tetrapyranyl-2,3-O-isopropylidenecyclohex-5-ene-1,2,3,...",,33260
(+-)-2-Acetylaminopentyl acetate,,42646
(+-)-2-Octylvinyl carbonate,15352,
(+-)-3-Hydroxy-2-methylenepentanoic acid,22200,
(+-)-Methyl 1-(1-chloro-2-phenyl-2-oxoethyl)-1H-tetrazole-5-carboxylate,23296,
"(+,-)-6,7,8,14-tetradehydro-4,5.alpha.-epoxy-3,6-dimethoxymorphinan-17-carbo...",,1110773
(-)-Lavandulol,,
(-)-Menthol Benzylsulfonate,36707,
"(1'RS,2RS,3'S,5'R)-[5'-((tert-Butyldimethylsilanyl)oxy)-3'-fluoro-2'-methyle...",40493,
"(1,1,2,3,3,3-hexafluoropropyl)cyclopentane",58546,
"(1,1-Dideuteriocyclopropyl)acetaldehyde",,
"(1R*,2R*)-Dimethylcyclopentan-1-ol",25653,
"(1R*,4S*,7S*)-7-Ethanoyl-3,3-dimethoxy-5-(2,5-dioxacyclopentyl)bicyclo[2.2.2...",,24360
"(1R,2R)-1,2-Dihydroxy-3-cyclohexene",33955,
"(1R,2R)-2,3-Dibenzyloxy-1-[2-(1,3-dioxolan-2-yl)]ethylpropyl methanesulfanate",32648,
"(1R,2R)-2-Aminomethyl-2-hydroxy-1,7,7-trimethylbicyclo[2.2.1]heptane",,36583
"(1R,2S)-1,2-Dimethoxy-1,2-diphenylethane",599692,
"(1R,2S,Sp)-N-(2-Iodoferrocenylmethyl)-N-methyl-1-methoxy-1-cyclohexylprop-2-...",,17339
"(1RS,5SR)-2,2,5-trimethylcyclopentane-1-carbaldehyde",,63770
"(1S,2S,6R)-6,8-Dimethyl-6-methoxytricyclo[3.3.0.0(2,8)]octan-3-one",,17942
"(1S,5S)-2-oxa-6-azabicyclo[3.3.0]octan-3-one",16455,
"(1S,6R)-6-Methyl-3-isopropyl-5-oxocyclohex-3-enecarbonitrile",287104,
"(2,2-Diiodo-1-methoxyethynyl)benzene",35996,
"(2,2-Dimethyl-6-hepten-3-yl)benzenesulfenic Acid O-ester",,18887
(2-(Hydroxymethyl)-3-allyl)trimethylsilane,39327,
"(2E)-1-O-Acetyl-3,7-dimethyl-2-octen-1-ol 6,7-epoxide",,6456
"(2R)-1,2-Dibenzyloxy-5-(1,3-dioxolan-2-yl)pentan-3-one",51082,
"(2R,3S)-{3-[4-[(Tetrahydropyran-2-yl)oxy]but-2(E)-enyl]oxiranyl}methanol",23308,
"(2R,4R)-2,4-dimethylhexan-1-ol",7935,
"(2R,4S,5R)-2-(.alpha.-Diazobenzyl)-3,4-dimethyl-2-oxo-5-phenyl-1,3-2.lamda.(...",,13698
"(2R,4S,5R)-2-Iodomethyl-5-methyl-4-hydroxytetrahydrofuran",,87486
"(2R,5R)-2-Isopropenyl-6-methylspiro[4.5]dec-7-en-6-ol",,4357
"(2R,5R)-2-tert-Butyl-5-(N,N-dimethylaminomethyl)-1-aza-3-oxabicyclo[3.3.0]oc...",87827,
"(2S)-2-Allyloxy-1,4-bis[(methanesulfonyl)oxy]butane",18925,
"(2S*,3R*,4S*,5S*)-3-[(S)-(2'-Methoxy-2'-phenylacetoxy)]-4-ethyltricyclo[4.2....",,451706
"(2S,3R,4E)-2-Aminoctadec-4-ene-1,3-diol [D-erythreo-Shingosine]",,131244
"(2S,3S)-3-Methoxy-2,4-dimethylpentanol",31119,
"(2S,3S,5R)-3-[Dimethyl(phenyl)silyl]-1-ethoxycarbonyl-2-benzyl-5-nonylpyrrol...",,14293
"(3R*,4R*)-3,4-Epoxy-7-hydroxy-1-phenylhept-1-yne",7687,
"(3R*,4S*)-2-(2-tert-Butyl-4-methyl-3-phenyl-1,2-oxazetidin-4-yl)-4,4-dimethy...",,117300
"(3R*,5S*,6R*)-3-Isopropyl-6-phenyl-5-(2,6-xylidino)-1,2,4-trioxane",18740,
"(3R,4S)-4-(Dimethylamino)-1-phenyl-1-penten-3-ol",,
"(3S,4R)-3,4-Dihydroxy-5-cyano-1-pentene",49947,
"(3S,4S)-Hept-1-en-6-yne-3,4-diol",176885,
"(4-Methyl-2-oxo-1,3-dioxol-4-en-5-yl)methyl 4-Nitrophenyl Carbonate",,12800
"(4aR*,7aR*)-3,4a,7,7a-Tetrahydro-3,3-dimethyl-6,7-diphenyl-7-oxacycxclopenta...",9370,
"(4E)-2,2,4-Trimethylhex-4-en-3-one",5311,
"(4E)-2,7-Dimethyl-4-octene-3,6-dione",,58972
"(4E,7S)-7-Methoxy-1-tetrahydropyranyloxy-4-dodecene",,10974
"(4R)-1,3-Thiazolidine-4-carboxylic acid",,4759
"(4R,6S)-2-Hydroxy-4,6-dimethyltetrahydropyran",,53230
"(4S,6S,1E)-3-(Acetoxymethylene)-6,7-dihydroxy-7,11-dimethyldodeca-1,10-dien-...",58103,
"(5,5-Dimethyl-1,3-dioxan-2-yl)-phenylmethanol",15894,
"(5S)-[(1S)-1,2-Dibenzyloxyethyl]-1-pyrroline N-oxide",,16220
