Compound,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara_iAAL
"2,2-dimethyl-1-nitropropane ",183671,32480
"2,2-dimethyl-1-nitropropane ",22069,
"2,3,5,7,15-Pentaacetoxy-8-(tigloyloxy)-9,14-dioxo-Jatropha-6(17),11(E)-diene",7636,39647
"2,3-Pentanedione",91284,152204
"2,3-Pentanedione",467279,
"2,4-Di-tert-butylphenol",9502582,12638371
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",13512760,13099109
"2,5-Dimethylhexane-2,5-dihydroperoxide",7838574,10111571
"2,6-Dimethylhepta-1,5-diene-5,5-dicarbonitrile",89519,67366
2-Acetoxy-tetrahydrofuran,118688,116295
2-Acetyl-5-methylthiophene,304779,288052
2-Acetyl-5-methylthiophene,,277053
2-Acetylthiazole,1543184,1196741
2-amino-3-furfuryloxybenzoic acid,69664,30470
2-Butanone,8172286,5975622
2-Dimethylamino-3-cyano-5-methylhex-4-en-1-nitrile,89781,161238
2-Dodecanone,945138,327997
2-Heptanone,1735411,118783
"2-Heptanone, 4-methyl-",32038496,27473511
2-Nonanone,3431028,3316130
2-O-methylbaeomycesic acid,29473251,41814
"2-Octanol, 2-methyl-",4409467,3630767
2-Pentadecanone,6895362,8267759
"2-Propanol, 1,1'-oxybis-",430271,164543
"2-Propanol, 2-methyl-",1075076,877006
2-Propenal,242719,197099
2-Propenal,239416,
"2-Propenoic acid, 2-methyl-, methyl ester",11589,103206
2-Tetradecanone,2328162,772728
2-Tridecanol,1456941,1104961
2-Tridecanol,,897126
2-Tridecanone,17753275,19099408
2-Undecanone,6626097,7723822
"3,3,6-trimethyl-2-methylene-4-oxo-2,3-dihydrofuro[3,2-c]pyran",58359,75258
"3,5-Bis(trifluoromethyl)phenyl 1-phenylpropyl Sulfone",46099,31524
"3,5-Diamino-1,2,4-triazole",233164,199224
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,3223364,645580
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,1537844,
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,582634,
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",106472,61243
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",113366,47985
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",220762,64117
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",53612,102039
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",,236786
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",,120094
3-Quinolinecarbonitrile,417375,335888
"4,4-Dideuteriomethoxycyclohexane",56270,210402
4-(2-Naphthyl)-5-phenyl-4H-dibenzophosphole oxide,32825,21412
4-(2-Naphthyl)-5-phenyl-4H-dibenzophosphole oxide,499519,431182
4-amino-2-methylbutanoic acid ,8470,7630
4-Azido-3-bromobenzene,43435,34533
"4-Ethylene Ketal of t-5,c-10-Dimethyl-r-1H-bicyclo[5.3.0]dec-6-ene-4,8-dione",105379,11384
4-Methoxy-1-nonene ,20370,15164
4-Methyl-2H-pyran,207623,240347
4-Quinolinecarboxaldehyde,72859,126486
"5,6-Dihydrobenzo[c]phenanthridin-6-one",108277,104893
