Name,EPI300_pCC1_ATF1_iAAl,EPI300_pCC1_ATF1_AraiAAl,
"4,5,6,8-PTetramethoxy-2,3-dihydroindeno[1,2,3-ij]isoquinolin-9-ol",901983.2402,0,
"Undecanoic acid, 2-methyl-, methyl ester",563495.3445,0,
4-(1-Ethoxyethoxy)-4-methyl-2-pentanone,59381.75047,0,
"2-oxo-6-(dimethyl-t-butyl-siloxy)-3,5-methyleneoxy-bicyclo[2.2.1]heptane",16918.06331,0,
"2,4,6-Cycloheptatrien-1-one, 2-hydroxy-",1702225.326,0,
"(2S*,3R*,4S*,5S*)-3-[(S)-(2'-Methoxy-2'-phenylacetoxy)]-4-ethyltricyclo[4.2....",841165.7356,0,
"(6-Methyl-1,4-dioxaspiro[4,5]decan-6-yl)methanol",7173.184358,0,
"6-(2,3-Dimethylpropyl)-2,5-dimethylpyrazine",116454.3762,0,
"1,3-Diphenyl-1-((trimethylsilyl)oxy)-1(E)-heptene",15577.28119,0,
(E)-2-(1-Hydroxy-1-methylethyl)-2-(methylthio)thiolane 1-oxide,21415.27002,0,
Methylenecyclopropanecarboxylic acid,334817.5047,0,
"(2S,3R,4E)-2-Aminoctadec-4-ene-1,3-diol [D-erythreo-Shingosine]",244402.2346,0,
"2H-Tetrazole, 2,5-dimethyl-",431210.4283,0,
"2-Ethylthiolane, S,S-dioxide",375256.9832,0,
"Methyl (2R)-2-[(tert-Butoxy)carbonylamino]-5,5-dimethyl-5-silahexanoate",12664.80447,0,
"Benzaldehyde, 3-ethyl-",532072.6257,0,
2- butanone ,42273.74302,0,
2-Nitrocyclotridecanone ,5886.405959,0,
(tosyloxy)methyl 2-pyridinyl ketone,7003.724395,0,
tert-butylphosphonic acid dichloride ,18275.60521,0,
"1-Undecene, 4-methyl-",798262.5698,0,
"2,3-dihydroxypyrazine",68188.08194,0,
cis and trans-3-(Fluorodimethylsilyl)cyclohexyl acetate,683635.0093,0,
2-Methyl-7-nitrobenzo[b]furan,29195.53073,0,
"2-tert-butoxy-3-methyl-5-(trimethylsilyl)cyclohexa-2,5-diene-1,4-dione",15653.63128,0,
"trans-2,4-Bis(tert-butyldimethylsilyl)-1,3-dithietan-1,1,3,3-tetraoxide",2239188.082,0,
Luteinone - Hydroxy Derivative,765344.5065,0,
"1,8a-Epoxy-1,2,3,4,4a,5,6,7,8,8a-decahydro-1,4a-dimethylnaphthalen-2-ol",74525.13966,0,
"3-ethyl-4,4-difluoro-3-hydroxy-5-undecanone",25402.23464,0,
"Methyl 2-chloro-4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-quinoxalinyl)ca...",79545.62384,0,
3-t-Pentylcyclopentanone,118126.6294,0,
{[(Trimethylsilyl)methyl]oxy} Dimethyl Phosphinate,43102.42086,0,
"3-(1,1-Dimethylethyl)-5-(3,3-dimethyl-2-oxobutyl)-5-methyl-2-isoxazoline",144497.2067,0,
Ethyl phenoxyacetate,17878.95717,0,
"(1S,2S,6R)-6,8-Dimethyl-6-methoxytricyclo[3.3.0.0(2,8)]octan-3-one",33411.54562,0,
N-1-(2-AZIDO-2-METHYLPROPYLIDENE)T-BUTYLAMINE,337864.0596,0,
4-CYCLOPROPYLPYRIMIDINE ,50985.10242,0,
"1,1-Ethanediol, diacetate",136813.7803,0,
.gamma.-1-Acetoxyethyl-1-methyl-c-2-isopropenylcyclobutane,40819.36685,0,
.beta.-Myrcene ,72499.0689,0,
N-Methyl-N-vinylbutanamide,134378.0261,0,
(S)-1-(2-Methoxyethyl)-3-aminopyrrolidine,106649.9069,0,
3Z-3'S-gamma.-IRONE,31947.85847,0,
"1,5-di[O-Acetyl]-2,3,4-tris(O-methyl)-xylitol",13104.28305,0,
"Benzene, 1-(1,1-dimethylethoxy)-3-methyl-",93724.39479,0,
"6-Ethyl-5,6-dihydrouracil",83664.80447,0,
2-keto-butyric-acid,8936.685289,0,
1-pyrazolecarboxamide ,64297.95158,0,
"4,7-Dihydro-4,7-methanoisobenzofuran",85238.36127,0,
5-Isopropyl-2-methylpyrrole-3-carbonitrile,65059.59032,0,
"N-[(2E),(1S)-1-(3-Methylpropyl)hexa-2,5-dienyl](tert-butoxy)carboxamide",61175.04655,0,
trans-(2-Ethylcyclopentyl)methyl acetate,2498141.527,0,
"(5S)-[(1S)-1,2-Dibenzyloxyethyl]-1-pyrroline N-oxide",30204.84171,0,
"1-(5-Methoxy-2,3-dihydro-1H-inden-1-yl)-3-hydroxypropan-1-one",103156.4246,0,
"Propiophenone, 2,2',4',6'-tetramethyl-",178236.4991,0,
"(3R,4S)-4-(Dimethylamino)-1-phenyl-1-penten-3-ol ",38284.9162,0,
"2-Fluoro-5-trifluoromethylbenzoic acid, propyl ester",70003.72439,0,
"6,7-Dimethoxy-2-methyl-3,4-dihydro[1-D]isoquinolinium ion",371486.0335,0,
"(2R,4S,5R)-2-(.alpha.-Diazobenzyl)-3,4-dimethyl-2-oxo-5-phenyl-1,3-2.lamda.(...",25508.37989,0,
meso-Diaminopimelic acid,80783.9851,0,
"3-Oxo-1,3-dihydro-1-isobenzofuranyl crotonate",37281.19181,0,
.alpha.-(2-Amino-5-methoxy-3-methoxymethoxy-4-methylphenyl)-.alpha.-methylth...,116286.7784,0,
"Methyl 3-(1.alpha.-hydroxyethyl)-1,2,3,4,6,7,12,12b-octahydroindolo[2,3-a]qu...",165759.7765,0,
3-t-Butoxycyclobutenone,40132.21601,0,
"Pentane, 3-bromo-",12607.07635,0,
"5,12-Dicyano-7,14-dimethyl-7,14-diaza-2,9-dioxatricyclo[8.4.0.0(3,8)]tetrade...",25612.66294,0,
1-Nonanol,342942.2719,0,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",520249.5345,0,
3-Tetradecanone,281774.6741,0,
"(2S,3S,5R)-3-[Dimethyl(phenyl)silyl]-1-ethoxycarbonyl-2-benzyl-5-nonylpyrrol...",26616.38734,0,
"cis-5-Methoxy-6-methyl-1,4-dioxepane",11932.96089,0,
"(1R,2S,Sp)-N-(2-Iodoferrocenylmethyl)-N-methyl-1-methoxy-1-cyclohexylprop-2-...",32288.6406,0,
Phenylethyl Alcohol,203396.648,0,
"Benzonitrile, 4-ethenyl-",77675.97765,0,
"(4-Methyl-2-oxo-1,3-dioxol-4-en-5-yl)methyl 4-Nitrophenyl Carbonate",23836.12663,0,
1-Methylcyclopropanecarbaldoxime,13715.0838,0,
3-Phenyl-3-m-tolylpropylamine,25322.16015,0,
1-(2'-Methylphenyl)-1-pentene,12325.88454,0,
THALIFASiNE,48040.96834,0,
"3-(Diphenylarsanyl)-2,3,4,4,5-pentaethyl-1,2,5-oxadiborolane",21497.2067,0,
"Ethanol, 2,2'-oxybis-",89661.08007,0,
Cyclododecane,2878823.091,0,
"3-Methylene-3,4-dihydrocoumarin",6862.197393,0,
3-Pentadecanone,158847.2998,0,
1H-Pyrrole-2-carboxaldehyde,70281.19181,0,
Octanoic acid,1908703.911,0,
(-)-1-methyl-2-norcaranone,125690.8752,0,
Myristoleic acid,1743761.639,0,
1-Methyl-5-nitro-4-phenylsulfonylimidazole,140007.4488,0,
"1-Methyl-3-(3,4-dimethoxyphenyl)-6,7-dimethoxyisochromene",252724.3948,0,
3-Hexadecanone,466599.6276,0,
(E)-7-Dodecen-1-ol,66562.38361,0,
"(S)-3,9-dimethyl 6-(1-methylethyl) (E)-5,8-decadien 1-ol",70478.58473,0,
"Carbonic acid, butyl 3,4-dimethylphenyl ester",86500.9311,0,
5-Chloro-3-(p-ethylphernyl)-2-nitrothiophene,63586.59218,0,
"1,3-DIPHENYL-1,3,5,5-TETRAMETHYL-CYCLOTRISILOXANE",40837.98883,0,
1-Hexadecyne,126007.4488,0,
"(1R*,4S*,7S*)-7-Ethanoyl-3,3-dimethoxy-5-(2,5-dioxacyclopentyl)bicyclo[2.2.2...",45363.12849,0,
"1H-1,2,4-Triazole-3,5-dicarbaldehyde",21890.13035,0,
"Sulfurous acid, 2-ethylhexyl isohexyl ester",22433.89199,0,
5-(tert-Butoxycarbonyloxy)-2-(1-buten-3-yl)phenol,15467.41155,0,
Methyl 3-((aminocarbonyl)amino)-2-cyano-3-phenylpropenoate,8893.854749,0,
n-Decanoic acid,3379668.529,0,
"1,5-Heptadiene, 2,6-dimethyl-",120582.8678,0,
"Heptasiloxane, hexadecamethyl- ",2087417.132,0,
2-(2-Methyl-3-oxobutyl)octanal,16169.45996,0,
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",1079152.7,0,
1-Isoquinolinecarbonitrile,485798.8827,0,
Decanoic acid,66338.91993,0,
"4-Methyl-1-(2',4',5'-trimethylphenyl)pentan-1-one",60381.75047,0,
"(2E)-1-O-Acetyl-3,7-dimethyl-2-octen-1-ol 6,7-epoxide",12022.34637,0,
"Phenol, 4-(1,1-dimethylpropyl)-",76929.2365,0,
"Propanoic acid, 2-methyl-, 3-phenylpropyl ester",87633059.59,0,
"9-Octadecenoic acid, ethyl ester",165800.7449,0,
Methyl p-(2-hydroxyethyl)benzyl sulfoxide,25100.55866,0,
dichloromethyl propyl sulfone,34191.80633,0,
"3-Buten-2-one, 3-methyl-",49873.37058,0,
"Benzoic acid, 4-methyl-",73467.41155,0,
"Phthalic acid, hept-4-yl isobutyl ester",120216.0149,0,
"2-Trifluoromethylbenzoic acid, 6-ethyl-3-octyl ester",70275.60521,0,
"2-Benzoyloxy-1,2-bis(4-nitrophenyl)ethanone",141467.4115,0,
Bicyclo[4.3.0]non-8-en-7-one ,26640.5959,0,
5-ethyl-2-phenyloxazole-4-carboxylic acid,101108.0074,0,
"Phthalic acid, butyl hept-4-yl ester",192636.8715,0,
"2-Propenoic acid, 3-phenyl-, 2-methylpropyl ester",149521.4153,0,
"Propanoic acid, 3-chloro-, 4-formylphenyl ester",35350.09311,0,
3-Isopropyl-3-borabicyclo[3.3.1]non-6-ene,32340.78212,0,
"2,4-DIONE-1,3-BENZODIOXAN",46785.8473,0,
"2,5-Dimethyl-2,2'-bistetrahydrofuran ",25067.03911,0,
"3-methylfuro[2,3-b]pyridine ",102551.2104,0,
"5-isopropyl-1,3,6-cyclooctatriene",24182.49534,0,
Dicyclohexyl ester of glutaric acid,0,22034.03566,
"Hexane, 2,3-dimethyl-",0,607179.9028,
3-(tert-Butylazo)-3-methylbutanoic Acid,0,364184.765,
"Butane, 2-methoxy-2-methyl-",0,273225.2836,
t-Butyl 2-methylsuccinate,0,129299.8379,
N-(1'-CARBOXY-2'-MERCAPTOETHYL)PHTHALIMIDE ,0,13993.51702,
"2-Heptene, 5-methyl-",0,105829.8217,
"(2S,3R)-3-Amino-4-phenylbutane-1,2-diol",0,59604.53809,
"Cyclotrisiloxane, hexamethyl-",0,29065580.23,
"3-Methyl-2,4,5-triphenyloxazolidine isomer",0,5216282.01,
[5-methyl-3-(3-butenyl)]isoxazole ,0,1695886.548,
"(4E,7S)-7-Methoxydodec-4-enoic acid",0,183893.0308,
2-(Dioxolan-2-yl)-4-methyl-4-nitropentane,0,49549.43274,
"Cyclopentanone, 2,4,4-trimethyl-",0,1642716.37,
"Furan, 2,2'-[oxybis(methylene)]bis-",0,79377.63371,
6-Iodo-1-heptene ,0,16546.19125,
"2-Propanol, 2-methyl-",0,877006.483,
"5-hydroxy-1,2-pentadiene",0,13567.26094,
Butynyl 2-propenyl ether,0,297400.3241,
Methylene chloride,0,219461.9125,
"1,3-Dimethyl-3-(2-propyl)azetidine-2,4-dione",0,42465.15397,
3-Methyl-1-(2-tetrahydropyranyloxy)-2-butene,0,26638.57374,
4-Methyl-2H-pyran,0,240346.8395,
"Oxetane, 2,3,4-trimethyl-, (2.alpha.,3.alpha.,4.beta.)-",0,332016.2075,
N2-Acetyl-N1-formylhydrazide,0,123993.517,
Propanal,0,560636.953,
3-Ethyl-5-methyl-2(5H)-furanone,0,330972.4473,
"Cyclopentane, methyl-",0,157173.4198,
(Z)-1-Amino-2-propananone -O-methyloxime,0,36144.24635,
Methyl Isobutyl Ketone,0,1664826.58,
5-Ethylhydantoin,0,387951.3776,
6-Bromo-1-(tert-butyldimethylsilyl)hexanol,0,76324.14911,
2- and 4-Acetoxy-2-methyl-3-hexanone,0,274491.0859,
"1,3-Dioxolane, 2-hexyl-",0,222061.5883,
"4-(2-Nitrophenyl)-1,2,3-thiadiazole",0,206977.3096,
(2-(2H(1)-4-Methoxyphenylethyne,0,802870.3404,
2-Propanol,0,261129.6596,
Toluene,0,8459124.797,
"Pentane, 1-propoxy-",0,319307.9417,
4-Azido-3-bromobenzene,0,34533.22528,
"3H-1,2,4-Triazol-3-one, 1,2-dihydro-",0,18027.55267,
"2-Butyl-1,3-dioxepan",0,7345.218801,
"Butane, 2,2-dimethyl-",0,135627.2285,
3-Hydroxy-N-propyl-pyrrolidine,0,22753.64668,
piperidine hydrochloride ,0,40721.23177,
"2,6-Dimethylhepta-1,5-diene-5,5-dicarbonitrile",0,67366.28849,
3-Cyclopropyl-3-methyl-but-1-yne,0,136912.4797,
"Disulfide, dimethyl",0,14604974.07,
Dimethylphosphinic fluoride,0,2297862.237,
"3t-Bromo-1-vinyl-1c,2r-cyclohexanediol",0,44839.54619,
"Acetic acid, 2-methylpropyl ester",0,503568.8817,
"Disulfide, dihexyl",0,358012.966,
2-Butyne,0,31518.63857,
"Propanoic acid, 2-methylpropyl ester",0,134857.3744,
5-Propyl-2-pyrrolidinone,0,187350.081,
"2-Isopropyl-2,5-dihydrofuran",0,40204.21394,
5-(1-Methyl-1-methoxyethoxy)-1-tetrahydropyranyloxypentene,0,24502.43112,
(E)-1-(Hex-2-enyloxy)butan-2-one,0,139363.047,
"(-)-(3R,6S)-2,3,6-trimethylhepten-7-ol",0,73554.29498,
"3-Ethyl-1,4-dimethyl-1,3-cyclohexanediol",0,84090.76175,
Chlorotrifluoromethane,0,50523.50081,
1-vinyl-1-cyclopropyl ethyl ether,0,137489.4652,
N-(4-isoxazolyl)formamide ,0,47625.60778,
"1,2-Diisopropyl-1,2-diazetidine",0,59782.8201,
"(2'S,R,R)-(-)-3-[2'-(1-Ethyl-1-methoxypropy)-2-oxobipyrrolidinyl-3-yl]-3-hex...",0,38337.11507,
"Methanamine, N-methyl-N-nitroso-",0,189938.4117,
"Propane, 2-nitro-",0,384602.9173,
"N,N-Dibenzyl-2-aminoethanal",0,45363.047,
4-Methylene-1-pyrazoline,0,27896.27229,
"Hexanal, 2-methyl-",0,251705.0243,
"Benzeneethanol, .alpha.-phenyl-",0,104502.4311,
p-Xylene,0,1547982.172,
"1-Butanol, 3-methyl-, acetate",0,25547168.56,
1-methoxy-2-aminocarbonyl-1-aza-cyclopropane,0,13646.67747,
"Benzaldehyde, 4-chloro-",0,211615.8833,
"(1R,2S)-N-Benzyl-2-hydroxy-7,7-dimethylbicyclo[2.2.1]heptane-1-sulfonamide",0,512508.9141,
"3-Methylbut-2-enoic acid, 4-nitrophenyl ester",0,2065572.123,
(Z)-4-Methyl-2-pentenal ,0,822442.4635,
"(2S,2' S)-{N-[2'-(Methylamino)propionyl}bornane-10,12-sultam",0,172484.6029,
1-t-Butyldimethylsilylox-5-hydroxynon-8-ene,0,14473.2577,
2-Pyrimidinecarbonitrile,0,16589.95138,
"Butanoic acid, 3,3-dimethyl-",0,6040951.378,
"3,5-Octanedione, 2,2,4,7-tetramethyl-",0,248985.4133,
"Tardioxopiperazine A [cyclo-L-alanyl-5-isopentenyl-2-(1',1'-dimethylallyl)-L...",0,119175.0405,
"4,4-Ethylidenedioxy-9-.alpha.-methanesulfonyloxy-5-methyltricyclo[6.3.0.0(1,...",0,10395.46191,
2-Formyl-5-fluoropyrrole,0,13171.79903,
(S)-(-)-2-Acetylaminopropan-1-ol,0,146974.0681,
2-Isopropyl-1-methylhexahydropyrimidine,0,87735.81848,
"2,5-Dimethylhexane-2,5-dihydroperoxide",0,10111570.5,
"2,2-Dichloro-3-phenylpropanal",0,91803.88979,
".omega.,.omega.-Diphenylhexane",0,116528.363,
2-(Hydroxyethyl) isoamyl sulfide,0,32249.59481,
1-Pentene,0,1065842.788,
"1,1-bis( Chloromethylboryl) ethane",0,14867.09887,
"t-Butyl 2-[3',3'-dicyano-2'-(4-methylphenyl)allylidene]-thiazolidine-3-carb...""",0,51985.41329,
"(+)-(2S,1R",0,#VALUE!,
2-Oxocyclopentanecarboxamide,0,22235.0081,
( 18-O )-.beta.-Propiolactone,0,64716.36953,
"3,6-Heptanedione",0,331846.0292,
"8-(R,S)-Pentyloxocan-2-one",0,45670.98865,
"3,5-Diamino-1,2,4-triazole",0,199223.6629,
2-[13C]-2-Tetrahydrofuryl-methanol,0,68072.93355,
"chloro[(1,1-dimethylethyl)dimethylsilyl]methyl chloride",0,27142.62561,
Ethyl Azacyclopentane-2-ylideneacetate,0,371335.4943,
N-3-Oxopropylcrotonylamide,0,629779.5786,
"Acetic acid, 2-ethylbutyl ester",0,357395.4619,
"cis-1,4-Dicyano-6,6,8,8-tetramethyl-7-oxo-2,3-benzo-cis-bicyclo[3.3.1]nonane",0,202282.0097,
(S)-(+)-2-(1-Ethoxyethoxy)-1-propanol,0,754139.3841,
"1-acetoxy-3,3-dimethyl-2-butanone ",0,349351.7018,
(R)-(+)-1-(3-tetrahydrofuryl)-1-oxo-2-hexyne,0,4367.909238,
2-(But-2'-yn-1'-yloxy)-tetrahydropyran,0,107341.9773,
N-Glyoxyloyl-[(S)-proline - benzyl ester],0,63664.50567,
"2-Butanone, 3-methyl-1-phenyl-",0,80330.63209,
"Ethane, hexafluoro-",0,323059.9676,
N-(2-Propenyloxymethyl)piperidine,0,149059.9676,
(3-Fluorophenoxy)amine,0,44286.87196,
Levulinamide,0,64356.56402,
2-But-1-enyltetrahydrofuran,0,27737.43922,
3-Ethoxy-1-(2-propenoxy)-2-propanol,0,3755.267423,
"2,2-Difluoro-3-methylbutane",0,318502.4311,
"Heptane, 3,4,5-trimethyl-",0,3915363.047,
"4-(2'-Hydroxyethyl)-2,3-dihydro-1H-indole",0,134341.9773,
"Methyl 3-(tert-Butyldimethylsilyloxy)-6-[(1,3)dioxan-2-yl]-2-methoxybenzoate",0,360116.6937,
"(E)-3-Ethylidene-2',2',5,5-tetramethylspiro[bicyclo[2.1.0]pentane-2,5'-[1,3]...",0,4217.179903,
"N,N-Dimethyl-4,5,6,7-tetra-O-acetyl-2,3-anhydro-D-glycero-L-galo-heptonamide",0,125667.7472,
2-Propenal,0,197098.8655,
"Oxetane, 3,3-dimethyl-",0,298153.9708,
"(1,1-Dideuteriocyclopropyl)acetaldehyde ",0,105021.0697,
"3-Octen-2-one, (E)-",0,40507.29335,
methyl 2-nitropropanoate,0,335491.0859,
3-Nonanol,0,352703.4036,
"(1R,2S)-Amino-2-methyl-4-phenyl-1-pentanol-1",0,17580.2269,
cis/trans-5-Phenyl-2-tetrahydrofurylmethyl 2'-pyridyl sulfide,0,42871.9611,
O-Methylsulphonylacetoxime ,0,3533.225284,
2-Methyl-1-trichloromethylbutanol,0,29925.44571,
"1,2-Dimethyl-5-(2-propyl)cyclohexanol",0,27162.07455,
2-(1-Ethylthiobut-2-enyl)cyclohexanone,0,23069.69206,
1-butylethanoate,0,355003.2415,
"2-[t-3'-Methoxy-1',2',3'-trimethyl-r-1'-cyclopentyl0propanedinitrile",0,120291.7342,
"Hexane, 3-ethyl-4-methyl-",0,189722.8525,
"(1R*,5S*)-1-[3'Methylbutyl]-5-hydroxy-2,2-dimethylcyclopentyl methyl ketone",0,40275.52674,
"METHYL 10,11-EPOXY-3,11-DIMETHYL-7-TRIFLUOROMETHYLODECA-2,6-DIENOATE",0,78884.92707,
"Pentanal, 2-methyl-",0,399432.7391,
1-Chloro-3-pentan-4-one cyclopentane,0,363512.1556,
"trans-Methyl 2-methyl-3-(2-hydroxyphenyl)-3,4-dihydro-1(2H)-isoquinoline-4-c...",0,75061.58833,
"Hexanoic acid, 5-oxo-, methyl ester",0,83162.07455,
"(1R*,2R*)-1,2-Dimethylcyclohexan-1-ol",0,28241.49109,
"5-Ethyl-1,2,3,4-thiatriazole",0,384596.4344,
(R)-S-Ethylthio mandelate,0,12713.12804,
10-ANGELOYL-DESACETYL-ISOAPRESSIN,0,109265.8023,
Diallyl malonate,0,96640.19449,
"(1R,3R)-3-Acetyl-2,2-dimethylcyclobutaneacetaldehyde",0,419034.0357,
"3,3-Dimethyl-1-cyclohexenyl acetate",0,664795.7861,
3-(Azidomethyl)cyclohexene,0,36611.02107,
"N,N-Bis[2-(deuteriomethyl)hexyl]ethylenediamine",0,318077.7958,
"2-(Oxolan-2-yl)-1,2-oxazinane",0,2366325.77,
"(E)-Ethyl 2,2-difluoro-4-phenylbut-3-enoate",0,11646.67747,
"Methanamine, N,N-dimethyl-",0,128414.9109,
"2-[4'-(5,5-dimethyl-1,3-dioxan-2-yl)-2'(Z)-butenyl]-4,4,5,5-tetramethyl-2-bo...",0,45659.64344,
Octyl chloroacetate ,0,91865.47812,
"Imidazo[4,5-d]imidazole, 1,6-dihydro-",0,2755149.109,
"Carbamic acid, (2-hydroxy-1-methylethyl)-, 1,1-dimethylethyl ester, (s)-",0,52748.78444,
(R)-2-Isopropyloxirane-2-carboxamide,0,19095.62399,
"4-isopropyl-7,8-dioxabicyclo[4.2.2]deca-2,9-diene ",0,6905.996759,
4-(2-tetrahydropyranyl)oxybutanal,0,100873.5818,
"2,2-dimethyl-1-nitropropane ",0,32479.74068,
"2-Hydroxy-2-methylpropyl 3,3-dimethylbutanoate",0,109884.9271,
4-Methoxy-2-(4'-Methylbenzenesulfonyl)-5-endo-nitro-3-oxo-2-azabicyclo[2.2.2...,0,84781.19935,
"13,14,15,16-Tetranor-8(17)-labden-12-al",0,130614.2626,
"2-(p-Fluorophenyl)-8-[2'-phenylethenyl]-6-methyl-imidazo[1,2-a]pyridine",0,128388.9789,
7.ALPHA.-METHACRYLOYLOXY- OR -TIGLINOYLOXY-9.BETA.-METHACRYCOYLOXY-OR -TIGLI...,0,87818.4765,
"3-(2-(2-METHYL-3-ALLYL-1,1-ETHYLENEDIOXYCYCLOPENTAN-2-YL)ETHYL)-1,5-HEXADIYNE",0,52534.84603,
"(R)-4-( 1',1'-Dimethylethyl)-1,3,2-dioxathiolane-2-one",0,33222.04214,
5-Cyclohexyl-2-pyrrolidinone,0,9350.081037,
"N-tert-Butylazoxy-N,N-dimethylcarboxamide",0,23868.71961,
2-Phenyl-[2-[tetrahydropyranyl]oxy]ethanol,0,46983.79254,
4-Iodo-2-methylbut-1-ene,0,74116.69368,
"Pentane, 3,3-dimethyl-",0,2678995.138,
2-Nonanone,0,3316129.66,
2-methoxy-1-(1-methoxyethyl)cyclopentanol,0,162244.7326,
trans-bicyclo[4.2.0]octane ,0,287106.9692,
"N,N'-Dibutyl-carbodiimide",0,693982.1718,
"(4S,E)-4-Methyl-2-hexen-1-ol",0,532632.0908,
"(7S*,8R*)-7-Butyl-8-(1-methylethenyl)-5,5-dimethyl-2,-phenylperhydro[1,2,4]t...",0,7698.541329,
"1-Methyl-1H-1,2,4-triazole",0,22085.89951,
Dimethyl trisulfide,0,12964589.95,
"trans-2-Amino-1-[N-(2,4,6-trimethylphenylsulfonyl)amino]cyclohexane",0,264902.7553,
"4-Pentyl-2,3-dihydrofuran",0,115303.0794,
"2-Vinyl-1,3-dioxacyclopentanium",0,113486.2237,
"4,5-Dioxononanal",0,12894.65154,
2'-Methyl-2'-propenyl 2-Propynaoate,0,22565.64019,
"2,5-Furandione, dihydro-",0,181620.7455,
4-methoxymethoxybut-2-yne ,0,823.3387358,
"1,1,1-Trifluoro-2-(trifluoromethyl)-3-[3',3',3'-trifluoro-2'-(trifluoromethy...",0,58523.50081,
"1,3-Dimethyl-2,4-dioxo-6-(phenylcarbamoyl)-8-phenyl-1,2,3,4-tetrahydro[1.2.4...",0,160834.684,
(2S)-3-methyl-2-butanol ,0,181275.5267,
2-Acetoxy-tetrahydrofuran,0,116294.9757,
"Cyclopentane, 1,2-dimethyl-, trans-",0,1081719.611,
TRICHLORETHANE,0,258444.0843,
"1,3,3a,4,5,6,7,8,9,9a-Decahydro-4,9-epoxybenzo[f]isobenzouran-1,3-dione",0,330416.5316,
"(1R,2S)-1,2-Dimethoxy-1,2-diphenylethane",0,335679.0924,
"2,5-Dipentyl-(pehydro)-quinoline",0,47312.80389,
"1-(Pent-4-ynyl)pyrano[3,4-b]indol-3-one",0,55914.10049,
"N,N,N-Trimethyl 1-(2-Methylenecyclooct-1-yl)methyl ammonium iodide",0,565337.1151,
2-Methyl-1-methylsulfanyl-oct-3-en-2-ol,0,279739.06,
3-Ethyl-2-hydroxytetrahydrofuran,0,977371.1507,
"1,6,6-Trimethyl-2-(3-furyl)tricyclo[3.4.0.0(2,9)]nonan-3-one",0,586131.2804,
"[6-13C]-(2S,4S)-5-Chloroleucine",0,18602.91734,
1-(2-Methoxyethenyl)cyclopropane,0,23197.73096,
"4,5,6,7,8,9-Hexahydro-1-methyl-3,10-dimethylcycloocta[d]pyridazinium tetrafl...",0,107690.4376,
Bicyclo[3.3.0]oct-1(2)-en-3-one ,0,300794.1653,
"(4S,6S,1E)-3-(Acetoxymethylene)-6,7-dihydroxy-7,11-dimethyldodeca-1,10-dien-...",0,15547.81199,
Methyl 3-(Benzylamino)-2-methylpropanoate,0,509854.1329,
"(E,E)-3,7-Dimethyl-1-(methoxymethoxy)-1,6-octadien-3-ol",0,47027.55267,
"(+)-(1S)-2-(3,4-Dimethoxyphenyl)-1-(3-methoxyphenyl)ethylamine",0,60742.30146,
"Ethanone, 1-(2-furanyl)-",0,21776.33712,
2-Heptanone,0,118782.8201,
"Disulfide, diphenyl",0,17891.41005,
"2-Butenoic acid, 2-methoxy-, methyl ester, (Z)-",0,114329.0113,
METHYL(+)-8-EPI-9-OXO-11.ALPHA.-TETRAHYDROPYRANYLOXY-15.BETA.-HYDROXY-19.ALP...,0,24844.40843,
methyl hydrogen 2-(methoxymethyl)-2-methylmalonate,0,79220.42139,
4-(Tetrahydrofuranyl-2-oxy)-4-methyl-2-pentanone,0,30880.06483,
Dihydro-4-acetoxy-2(3H)-furanone ,0,38623.98703,
1-mercapto-2-methoxycarbonylaminobut-3-ene,0,6818.476499,
2-Acetonyl-2-ethyloxirane,0,40552.67423,
"3-Acetyl-2,5-dimethyl furan",0,736037.2771,
Chromafenozide,0,5357499.19,
Benzyl 4-fluoro-2-butynyl ether,0,427907.6175,
3-Methylpentyl acetate,0,2194226.904,
"2-Heptanone, 6-methyl-",0,2602184.765,
7-Hydroxymethyl-1-azabicyclo[4.3.0]nonane isomer,0,49017.8282,
N-[2-Methyl-1-phenylpropyl]formamide,0,96607.77958,
"Ethane, 1,1',1''-[methylidynetris(thio)]tris-",0,52029.17342,
"TRANS-2,5-DIMETHOXY-3-HEXENE ",0,399207.4554,
3-(Hydroxymethyl)-2-cyclopentenone,0,696943.2739,
Ethyl N-cyano-N-methylcarbamate,0,316461.9125,
"Octanoic acid, ethyl ester",0,2015567.261,
Desoxyanisoin ,0,397384.1167,
(E)-Ethyl 3-iodo-3-decenoate,0,246774.7164,
"2-(1-Methylethenyl)-5-methyl-N,N-bis(1-methylethyl)-4-hexenamide",0,3799.027553,
"1-Heptanol, 2,4-dimethyl-,",0,1045889.789,
Acetic acid,0,8458388.979,
4-(Nitromethyl)anisole,0,6423.014587,
(E)-5-Hydroxy-5-methylhex-2-en-4-one,0,266239.8703,
Methyl 3-hydroxy-2-(p-toluenesulfonyloxy)methyl-10-tetrahydropyranyloxydecan...,0,15322.52836,
(Z)-1-(phenylthio)oct-2-ene ,0,23923.82496,
"4-[2-(6-(4-Morpholinyl)-1,2-benzisoxazol-3-yl)ethyl]-1-piperidinecarboxylic ...",0,37103.72771,
6-Nitrobenzo[b]furan,0,747.1636953,
