Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
"Propanoic acid, 3-chloro-, 4-formylphenyl ester",29691,35350
"Propanoic acid, decyl ester",236918,172225
"Propanoic acid, ethyl ester",7244491,4369408
rac-(+-)-2-(tert-Butylsulfonyl)pentyl acetate,584441,498754
S-Cyclopropyl Cyclopropanethiosulfonate,16634,29486
Thiazole,16394,10199
"trans-2,4-Bis(tert-butyldimethylsilyl)-1,3-dithietan-1,1,3,3-tetraoxide",24123,2239188
"trans-2-(2-Ethenylcyclohexyl)-2-methyl-1,3-dioxolane",443613,77263
tris(Trimethylphosphane) rhodium chloride,38260,25516
(+-)-2-Octylvinyl carbonate,28535,
(+-)-3-Hydroxy-2-methylenepentanoic acid,41264,
(+-)-Methyl 1-(1-chloro-2-phenyl-2-oxoethyl)-1H-tetrazole-5-carboxylate,43301,
(-)-Menthol Benzylsulfonate,68229,
"(1'RS,2RS,3'S,5'R)-[5'-((tert-Butyldimethylsilanyl)oxy)-3'-fluoro-2'-methyle...",75266,
"(1,1,2,3,3,3-hexafluoropropyl)cyclopentane",108822,
"(1R*,2R*)-Dimethylcyclopentan-1-ol",47682,
"(1R,2R)-1,2-Dihydroxy-3-cyclohexene",63113,
"(1R,2R)-2,3-Dibenzyloxy-1-[2-(1,3-dioxolan-2-yl)]ethylpropyl methanesulfanate",60684,
"(1R,2S)-1,2-Dimethoxy-1,2-diphenylethane",1114669,
"(1S,5S)-2-oxa-6-azabicyclo[3.3.0]octan-3-one",30586,
"(1S,6R)-6-Methyl-3-isopropyl-5-oxocyclohex-3-enecarbonitrile",533651,
"(2,2-Diiodo-1-methoxyethynyl)benzene",66907,
(2-(Hydroxymethyl)-3-allyl)trimethylsilane,73099,
"(2R)-1,2-Dibenzyloxy-5-(1,3-dioxolan-2-yl)pentan-3-one",94948,
"(2R,3S)-{3-[4-[(Tetrahydropyran-2-yl)oxy]but-2(E)-enyl]oxiranyl}methanol",43323,
"(2R,4R)-2,4-dimethylhexan-1-ol",14749,
"(2R,5R)-2-tert-Butyl-5-(N,N-dimethylaminomethyl)-1-aza-3-oxabicyclo[3.3.0]oc...",163247,
"(2S)-2-Allyloxy-1,4-bis[(methanesulfonyl)oxy]butane",35177,
"(2S,3S)-3-Methoxy-2,4-dimethylpentanol",57842,
"(3R*,4R*)-3,4-Epoxy-7-hydroxy-1-phenylhept-1-yne",14288,
"(3R*,5S*,6R*)-3-Isopropyl-6-phenyl-5-(2,6-xylidino)-1,2,4-trioxane",34833,
"(3S,4R)-3,4-Dihydroxy-5-cyano-1-pentene",92838,
"(3S,4S)-Hept-1-en-6-yne-3,4-diol",328783,
"(4aR*,7aR*)-3,4a,7,7a-Tetrahydro-3,3-dimethyl-6,7-diphenyl-7-oxacycxclopenta...",17416,
"(4E)-2,2,4-Trimethylhex-4-en-3-one",9872,
"(4S,6S,1E)-3-(Acetoxymethylene)-6,7-dihydroxy-7,11-dimethyldodeca-1,10-dien-...",107998,
"(5,5-Dimethyl-1,3-dioxan-2-yl)-phenylmethanol",29543,
"(5S,6R)-4,5-Dimethyl-6-phenyl-3,4,5,6-tetrahydro-2H-1,3,4-oxadiazin-2-one",56262,
"(7Z,11Z)-Hexadecadienal",64257,
"(E)-1,3-Bis(1-hydroxycyclohexyl)propene",175504,
(E)-1-(Hex-2-enyloxy)butan-2-one,57175,
"(E)-2-(1-Hydroxy-2,2-dimethylpropyl)-2-(methylthio)thiolane 1-oxide",71535,
(E)-2-(But-2-enyloxy)-N-methoxy-N-methylacetamide,70671,
(E)-2-Tetradecen-1-ol,71123,
"(E)-5,5-Difluoro-4-hydroxy-2-dodecen-6-one",42125,
(E)-Methacrolein oxime,372472,
(E)-Oct-2-en-4-one,157322,
"(E,Z)-6-Phenyl-5,11-didecadienal",14227,
(R)-1-(Methoxyethoxymethoxy)methyl-1-methyloxirane,1031126,
"(R)-2-[3,3,3-D3]methylpropanoic acid",24481,
"(R)-4-Methyl-6-(phenylmethoxy)hexane-1,4-diol",19868,
"(R,R)-(+)-3-(2-Oxopyrrolidin-3-yl)butanoic acid",1232011,
"(RS)-3,4-Dihydro-4-methyl-2-pyridone",328149,
(RS)-4-(tert-Butoxy)-3-methylbutanal,36061,
(S)-.alpha.-Isopropyl-.beta.-nitropropanenitrile,126792,
(S)-2-Ethyl-5-oxotetrahydrofuran-2-carboxylic acid,176292,
"(S)-3,4-Dimethylpentanol",646991,
(S)-3-Amino-4-cyclohexyl-2-methylbutan-2-ol,93686,
(S)-3-tert-Butylperoxy-1-cyclohexene,1039,
(S)-4-Aminobenzyl methyl sulfide,94604,
(tert-Butylsulfonyl)benzene,16680,
"(trans)-1,2,5-heptatriene",14149,
"(Z)-3-Deuterio-N-(2-deuteriomethyl-3,3-dimethylbutyl)-2-methylallylamine",57487,
.alpha.-(3-hydroxyphenoxy)acetophenone,678052,
".alpha.-Carboxy-.alpha.-methyl-.gamma.,.gamma.-dimethyl-.gamma.-butyrolactone",69520,
.alpha.-Isobutyl-.alpha.-(formylamino)acetonitrile,74967,
.alpha.-Methylbenzylnitrile,49264,
"1,1,2,3-tetrmethylcyclobutane",122467,
"1,2,6,8-Tetramethoxy-7-methyldihydrodibenzo[b,f]cyclohepten-5-one",751050,
"1,2-Ethanediol, monoacetate",940950,
"1,3,5-Heptatriene, (E,E)-",17665,
"1,3-Benzenediol, monobenzoate",20859,
"1,3-Benzenediol, o-(2-furoyl)-o'-(2-methoxybenzoyl)-",58994,
"1,3-Benzenediol, o-(2-methoxybenzoyl)-o'-propargyloxycarbonyl-",50336,
"1,3-Benzenediol, o-(4-ethylbenzoyl)-o'-(3-methylbenzoyl)-",381435,
"1,3-Benzodioxole",1369771,
"1,3-Bis(5-t-butylsilicyl)benzene",52561,
"1,3-diacetoxypropa-2-one",382565,
"1,3-dihydro-1-(p-nitrostyryl)isobenzofuran",146831,
"1,3-Dimethyl-3-(2-propyl)azetidine-2,4-dione",62673,
"1,3-Dioxolane, 2-butyl-2-methyl-",466567,
"1,3-Dioxolane, 2-hexyl-",322669,
"1,3-Propanediamine, N'-(ethylcarbonimidoyl)-N,N-dimethyl-",1575489,
"1,3-Propanediol, 2-methyl-2-propyl-, dicarbamate",169082,
"1,4-Butanediol",329260,
"1,4-Diazido-2,5-dimethylcyclohexane",27504,
"1,4-diphenylbut-3-ene-2-ol",86312,
"1,6-Anhydro-2-chloro-.beta.,D-erythro-hex-3-enpyranose",3742,
"1,6-Di-O-(Ethoxyethoxy)pseudo-D-arabinopyranose [2,3-Dibenzyloxy-1-(ethoxyet...",252097,
1-(.alpha.-Hydroxybenzyl)cyclopentanol,131112,
"1-(1,3-Dimethyl-1H-pyrazol-4-yl)ethanone",2713686,
1-(1-Ethoxyethoxy)-5-pentanol,30171,
