Compound,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
Ethyl 9-hexadecenoate,1099357,1251169
Ethyl 9-tetradecenoate,1974426,1955911
Ethyl Acetate,5208617,33877917
Farnesol ,274701,107315
"Formic acid, 2-methylpropyl ester",446517,350516
"Furan, tetrahydro-2,2,5,5-tetramethyl-",4644296,315806
"Heptane, 4-methyl-",1026299,883083
"Hexadecanoic acid, ethyl ester",574472,646782
Hydrogen isocyanate,1028641,10911488
Indole,169685381,180704821
Isophthalaldehyde,658537,607734
isopropyl(trans-2-methylcyclopentyl)isopropoxyborane,49108,81704
Lauryl acetate,1091026,5579764
"Methane, isocyanato-",461513,38542
Methoxycyclopentaneacetonitrile,72377,25702
Methyl Isobutyl Ketone,3218509,2001073
"methyl tetradeca-12,13-dienoate ",98567,26903
N'-(Iodotetrafluoroethoxytetrafluoroethyl)sulfonyl-N-(diethylamino)cyclopent...,16487,18974
N-Allylacetamide,13691,12798
OCTADECAMETHYLCYCLONONASILOXANE ,510888,371982
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",12772087,14072266
"Orthoformic acid, triisobutyl ester",9628405,9760200
p-Cresol,262322,171550
Pentanoic acid,493944,504284
Phenol,264061,266700
"Phthalic acid, butyl cyclobutyl ester",98704,115923
"Propanoic acid, 3-chloro-, 4-formylphenyl ester",29691,48482
"Propanoic acid, decyl ester",236918,173361
"Propanoic acid, ethyl ester",7244491,9997841
"Pyrazine, 2-ethyl-6-methyl-",692970,670448
Quinoline,66883,81405
"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv.",52838,63958
TETRACOSAMETHYLCYCLODODECASILOXANE ,998574,1079925
"Tetradecanoic acid, ethyl ester",1651599,2644355
Toluene,12081283,11376109
trans-1-Butyl-2-methylcyclopropane ,68717,29603
,27243,
,33058,
,58262,
,1195428,
,13770,
,30069,
,4928128,
,20152,
,66597,
,148022,
,16262,
,12126,
,1610,
,1124476,
,94465,
,103844,
,153766,
,21695,
,8535,
,981996,
,137768,
,446143,
,2275875,
,28697,
,256680,
,76100,
,82032,
,12089,
,492920,
,19217,
,40093,
,15691,
,30658,
,8907,
,272766,
,51493,
,3569,
,43933,
,176517,
,60712,
,2203727,
,36809,
,2061,
,111812,
,21357,
,40175,
,81989,
,88178,
,145418,
,101507,
,129117,
,85888,
,118076,
,8762,
,31006,
,27887,
,17385,
,8372,
,29069,
,12654,
,423641,
,22266,
,93638,
,9545,
,91989,
,114779,
,366848,
,34994,
,23130,
,3094820,
,142242,
,7952,
,31273,
,216567,
,27032,
,49437,
,39673,
,107188,
,8223,
,14797,
,43268,
,144035,
,13279,
,274388,
,726816,
,398236,
,56407,
,4485,
,73043,
,163597,
,85294,
,282165,
,215818,
,25375,
,74922,
,68004,
,22245,
,15437,
,9444,
,73595,
,52361,
,522520,
,72087,
,122905,
,170970,
,18381,
,14381,
,808279,
,133143,
,32528,
,192552,
,34796,
,57584,
,515058,
,24152,
,7506,
,33401,
,79550,
,243275,
,92933,
,92020,
,30888,
,1199543,
,40158,
,613243,
,273916,
,79783,
,331273,
,10887,
,16310,
,213703,
,356428,
,,46683
,,567641
,,56889
,,19280
,,88899
,,95129
,,122091
,,26770
,,360083
,,185948
,,5198
,,43232
,,146742
,,852111
,,10855
,,143016
,,27885
,,48883
,,87986
,,2887986
,,1883306
,,54655
,,11782
,,340125
,,279248
,,43744
,,372877
,,47345
,,632645
,,72034
,,420004
,,174950
,,16149
,,128218
,,9510
,,34901
,,149944
,,33885
,,11538
,,35861
,,22893
,,137236
,,10129
,,502629
,,123165
,,35944
,,152536
,,95972
,,911181
,,26782
,,624478
,,12179
,,22349
,,15716
,,71145
,,175502
,,83365
,,43355
,,1374494
,,53228
,,3645077
,,15988
,,10381
,,34300
,,1575835
,,231883
,,12867
,,24589
,,7300
,,24292
,,11534
,,28728
,,1196220
,,83647
,,72714
,,38885
,,23379
,,98875
,,156496
,,369008
,,148113
,,180806
,,8048
,,2704762
,,8167
,,8456
,,95742
,,131514
,,3934238
,,7720
,,3081
,,62325
,,427746
,,80724
,,16476
,,51845
,,173756
,,744042
,,9379
,,15986
,,23452
,,225784
,,19861
,,10462
,,37393
,,209903
,,188192
,,46484
,,49046
,,615750
,,25760
,,254008
,,6718
,,666960
,,403214
,,14327
,,8056
,,58472
,,160405
,,225482
,,217175
,,161014
,,157442
,,168587
,,356837
,,570470
,,263127
,,23246
,,55050
,,785988
,,201502
,,769742
,,16970
,,213825
,,422855
,,48893
,,15942
,,73149
,,11173
,,8558
,,56365
